anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,गते,गते,गति{स्त्री;8;एक}/गत{पुं;7;एक(गम्1;क्त;भ्वादिः)}/गत{नपुं;7;एक(गम्1;क्त;भ्वादिः)},गत{पुं;7;एक(गम्1;क्त;भ्वादिः)},"भावलक्षणसप्तमी_पूर्वकालः,18.1","अधिकरणम्,15.1#विशेषणम्,3.1#सम्बोध्यः,18.1#सम्बोध्यः,3.1#भावलक्षणसप्तमी_पूर्वकालः,18.1"
2.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1"
3.1,भरते,भरते,भृ1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}/भरत्{पुं;4;एक}/भरत्{नपुं;4;एक}/भरत{पुं;7;एक},भरत{पुं;7;एक},"कर्ता,1.1","अधिकरणम्,18.1#अधिकरणम्,15.1#अधिकरणम्,10.1#प्रयोजनम्1,18.1#प्रयोजनम्1,15.1#प्रयोजनम्1,10.1#कर्ता,1.1"
4.1,श्रीमान्,श्रीमान्,श्रीमत्{पुं;1;एक}/श्री{मतुप्;पुं;1;एक},श्रीमत्{पुं;1;एक},"विशेषणम्,7.1","विशेषणम्,16.1#विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,5.2#कर्ता,18.1#कर्ता,3.1"
5.1,सत्य-,सत्य-सन्धः,सत्य,सत्य,"षष्ठी-तत्पुरुषः,5.2","षष्ठी-तत्पुरुषः,5.2"
5.2,सन्धः,--,सन्ध{पुं;1;एक},सन्ध{पुं;1;एक},"विशेषणम्,7.1","विशेषणम्,16.1#विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,4.1#कर्ता,18.1#कर्ता,3.1"
6.1,जित-,जितेन्द्रियः,जित,जित,"षष्ठी-बहुव्रीहिः,6.2","षष्ठी-बहुव्रीहिः,6.2"
6.2,इन्द्रियः,--,इन्द्रिय{पुं;1;एक},इन्द्रिय{पुं;1;एक},"विशेषणम्,7.1","विशेषणम्,7.2#कर्ता,18.1#कर्ता,3.1#विशेषणम्,7.1"
7.1,रामः,रामः,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,18.1;कर्ता,10.1","कर्ता,18.1#कर्ता,3.1"
8.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1"
9.1,पुनः,पुनः,पुनः{अव्य},पुनः{अव्य},"क्रियाविशेषणम्,10.1","क्रियाविशेषणम्,18.1#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,3.1"
10.1,आलक्ष्य,आलक्ष्य,आङ्_लक्ष्1{अव्य;ल्यप्;चुरादिः}/आङ्_लक्ष्2{अव्य{ल्यप्;चुरादिः},आङ्_लक्ष्2{अव्य;ल्यप्;चुरादिः},"पूर्वकालः,18.1","पूर्वकालः,18.1#पूर्वकालः,3.1"
11.1,नागरस्य,नागरस्य,नागर{पुं;6;एक}/नागर{नपुं;6;एक},नागर{पुं;6;एक},"समुच्चितः,12.1","सुप्_समुच्चितः,12.1#कर्ता,15.1#कर्म,15.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,6.2#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1"
12.1,जनस्य,जनस्य,जन{पुं;6;एक},जन{पुं;6;एक},"षष्ठीसम्बन्धः,15.1","कर्ता,15.1#कर्म,15.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,6.2#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,15.1"
13.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,12.1","सुप्_समुच्चय_द्योतकः,12.1#सम्बन्धः,12.1"
14.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,10.1","देशाधिकरणम्,18.1#देशाधिकरणम्,10.1#देशाधिकरणम्,3.1"
15.1,आगमनम्,आगमनम्,आगमन{नपुं;1;एक(आङ्_गम्1;ल्युट्;भ्वादिः)}/आगमन{नपुं;2;एक(आङ्_गम्1;ल्युट्;भ्वादिः)},आगमन{नपुं;2;एक(आङ्_गम्1;ल्युट्;भ्वादिः)},"कर्म,10.1","कर्म,18.1#कर्म,10.1#कर्म,3.1#कर्ता,18.1#कर्ता,3.1"
16.1,एकाग्रः,एकाग्रः,एकाग्र{पुं;1;एक},एकाग्र{पुं;1;एक},"विशेषणम्,7.1","विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,5.2#विशेषणम्,4.1#कर्ता,18.1#कर्ता,3.1"
17.1,दण्डकान्,दण्डकान्,दण्डक{पुं;2;बहु},दण्डक{पुं;2;बहु},"कर्म,18.1","कर्म,18.1#कर्म,15.1#कर्म,10.1#कर्म,3.1"
18.1,प्रविवेश,प्रविवेश,प्र_विश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;तुदादिः}/प्र_विश्1{कर्तरि{लिट्;प्र;एक;परस्मैपदी;तुदादिः},प्र_विश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः},"अभिहित_कर्ता,16.1;सकर्मक",-
19.1,ह,ह,ह{अव्य},ह{अव्य},"सम्बन्धः,18.1","सम्बन्धः,18.1"
20.1,.,.,-,-,-,-
