anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सम्बन्धः,13.1","सम्बन्धः,13.1#कार्य_द्योतकः,13.1"
2.1,दग्ध्वा,दग्ध्वा,दह्1{अव्य;क्त्वा;भ्वादिः},दह्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,13.1","पूर्वकालः,13.1"
3.1,पुरीम्,पुरीं,पुरी{स्त्री;2;एक},पुरी{स्त्री;2;एक},"कर्म,2.1","विशेषणम्,8.1#विशेषणम्,6.1#सुप्_समुच्चितः,6.1#कर्म,11.1#कर्म,2.1"
4.1,लङ्काम्,लङ्काम्,लङ्का{स्त्री;2;एक},लङ्का{स्त्री;2;एक},"विशेषणम्,3.1","विशेषणम्,8.1#विशेषणम्,6.1#विशेषणम्,3.1#सुप्_समुच्चितः,6.1#कर्म,11.1#कर्म,2.1"
5.1,ऋते,ऋते,ऋते{अव्य}/ऋत{नपुं;7;एक},ऋत{अव्य},"विनार्थ_द्योतकः,6.1","अधिकरणम्,13.1#अधिकरणम्,11.1#अधिकरणम्,2.1#विनार्थ_द्योतकः,13.1#विनार्थ_द्योतकः,6.1"
6.1,सीताम्,सीतां,सीता{स्त्री;2;एक},सीता{स्त्री;2;एक},"विनार्थः,13.1","विशेषणम्,8.1#कर्म,11.1#कर्म,2.1#विनार्थः,13.1"
7.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,6.1","सुप्_समुच्चय_द्योतकः,6.1#सम्बन्धः,6.1"
8.1,मैथिलीम्,मैथिलीम्,मैथिली{स्त्री;2;एक},मैथिली{स्त्री;2;एक},"विशेषणम्,6.1","विशेषणम्,6.1#कर्म,11.1#कर्म,2.1"
9.1,रामाय,रामाय,राम{पुं;4;एक},राम{पुं;4;एक},"प्रयोजनम्,11.1","प्रयोजनम्1,13.1#प्रयोजनम्1,11.1#प्रयोजनम्1,2.1"
10.1,प्रियम्,प्रियम्,प्रिय{पुं;2;एक}/प्रिय{नपुं;1;एक}/प्रिय{नपुं;2;एक},प्रिय{पुं;2;एक},"कर्म,11.1","विशेषणम्,13.1#कर्म,11.1#कर्म,2.1#कर्ता,13.1"
11.1,आख्यातुम्,आख्यातुं,आङ्_ख्या1{अव्य;तुमुन्;अदादिः},आङ्_ख्या1{अव्य;तुमुन्;अदादिः},"प्रयोजनम्,13.1","प्रयोजनम्1,13.1#प्रयोजनम्1,2.1"
12.1,पुनः,पुनः,पुनः{अव्य},पुनः{अव्य},"क्रियाविशेषणम्,13.1","क्रियाविशेषणम्,13.1#क्रियाविशेषणम्,11.1#क्रियाविशेषणम्,2.1"
13.1,आयात्,आयात्,आङ्_या1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः}/आय{पुं;5;एक(आङ्_इ1;घञ्;अदादिः)}/आय{पुं;5;एक(आङ्_या1;घञ्;अदादिः)}/आयात्{नपुं;1;एक(आङ्_या1;शतृ_लट्;अदादिः)}/आयात्{नपुं;2;एक(आङ्_या1;शतृ_लट्;अदादिः)},आङ्_या1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,14.2;सकर्मक","विशेषणम्,10.1#कर्म,11.1#कर्म,2.1#विनार्थः,11.1#विनार्थः,2.1#हेतुः5,11.1#हेतुः5,2.1"
14.1,महा-,महा-कपिः,महत्,महत्,"कर्मधारयः,14.2","कर्मधारयः,14.2"
14.2,कपिः,--,कपि{पुं;1;एक},कपि{पुं;1;एक},"कर्ता,13.1;कर्ता,2.1","कर्ता,13.1"
15.1,.,.,-,-,-,-
