anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,दश-,दश-वर्ष-सहस्राणि,दशन्,दशन्,"कर्मधारय,1.2","कर्मधारय,1.2"
1.2,वर्ष-,--,वर्ष,वर्ष,"षष्ठी-तत्पुरुषः,1.3","षष्ठी-तत्पुरुषः,1.3"
1.3,सहस्राणि,--,सहस्र{नपुं;8;बहु}/सहस्र{नपुं;1;बहु}/सहस्र{नपुं;2;बहु},सहस्र{नपुं;2;बहु},"समुच्चितः,2.3","विशेषणम्,2.3#सुप्_समुच्चितः,2.3#कर्म,8.1#कर्म,6.1"
2.1,दश-,दश-वर्ष-शतानि,दशन्,दशन्,"कर्मधारयः,2.2","कर्मधारयः,2.2"
2.2,वर्ष-,--,वर्ष,वर्ष,"षष्ठी-तत्पुरुषः,2.3","षष्ठी-तत्पुरुषः,2.3"
2.3,शतानि,--,शत{नपुं;1;बहु}/शत{नपुं;2;बहु}/शत{नपुं;8;बहु},शत{नपुं;2;बहु},"अत्यन्तसंयोग_सम्बन्धः,6.1","विशेषणम्,1.3#कर्म,8.1#कर्म,6.1#अत्यन्तसंयोग_सम्बन्धः,6.1"
3.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,2.3","सुप्_समुच्चय_द्योतकः,2.3#सम्बन्धः,2.3"
4.1,रामः,रामः,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,8.1;कर्ता,6.1","सुप्_समुच्चितः,2.3#कर्ता,8.1"
5.1,राज्यम्,राज्यम्,राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक},राज्य{नपुं;2;एक},"कर्म,6.1","सुप्_समुच्चितः,2.3#कर्म,8.1#कर्म,6.1#कर्ता,8.1"
6.1,उपासित्वा,उपासित्वा,उप_आस्1{अव्य;क्त्वा;अदादिः},उप_आस्1{अव्य;क्त्वा;अदादिः},"पूर्वकालः,8.1","पूर्वकालः,8.1"
7.1,ब्रह्म-,-,ब्रह्म,ब्रह्म,"षष्ठी-तत्पुरुषः,7.2","षष्ठी-तत्पुरुषः,7.2"
7.2,लोकम्,-,लोक{पुं;2;एक},लोक{पुं;2;एक},"कर्म,8.1","कर्म,8.1#कर्म,6.1#सुप्_समुच्चितः,2.3"
8.1,प्रयास्यति,प्रयास्यति,प्र_या1{कर्तरि;लृट्;प्र;एक;परस्मैपदी;अदादिः},प्र_या1{कर्तरि;लृट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,4.1;सकर्मक",-
9.1,.,.,-,-,-,-
