anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,(सः),(सः),तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"विशेषणम्,2.1","विशेषणम्,8.2#विशेषणम्,3.2#विशेषणम्,2.1#सुप्_समुच्चितः,8.2#सुप्_समुच्चितः,3.2#कर्ता_बे_वेर्ब्स्,9.1"
2.1,आर्यः,आर्यः,आर्य{पुं;1;एक},आर्य{पुं;1;एक},"कर्ता,9.1","विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,8.2#सुप्_समुच्चितः,3.2#कर्ता_बे_वेर्ब्स्,9.1"
3.1,सर्व-,सर्व-समः,सर्व,सर्व,"सप्तमी_तत्पुरुषः,3.2","तृतीया_तत्पुरुषः,3.2#सप्तमी_तत्पुरुषः,3.2"
3.2,समः,--,सम{पुं;1;एक}/सम{सर्वनाम;पुं;1;एक},सम{सर्वनाम;पुं;1;एक},"समुच्चितः,8.2","विधेय_विशेषणम्,8.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,8.2#कर्ता_बे_वेर्ब्स्,9.1"
4.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.2","सुप्_समुच्चय_द्योतकः,3.2#सम्बन्धः,3.2#समुच्चय_द्योतकः,8.2"
5.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,4.1","सम्बन्धः,4.1"
6.1,सदा,सदा,सदा{अव्य},सदा{अव्य},"कालाधिकरणम्,8.2","कालाधिकरणम्,9.1#कालाधिकरणम्,8.2"
7.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,6.1","सम्बन्धः,6.1"
8.1,प्रिय-,प्रिय-दर्शनः,प्रिय,प्रिय,"षष्ठी-बहुव्रीहिः,8.2","षष्ठी-बहुव्रीहिः,8.2"
8.2,दर्शनः,--,दर्शन{पुं;1;एक}/दर्शन{पुं;1;एक(दृश्;ल्युट्;भ्वादिः)},दर्शन{पुं;1;एक(दृश्;ल्युट्;भ्वादिः)},"विधेय_विशेषणम्,2.1","विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,3.2#कर्ता_बे_वेर्ब्स्,9.1"
9.1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,2.1",-
10.1,.,.,-,-,-,-
