anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,10.1","देशाधिकरणम्,10.1#देशाधिकरणम्,7.1#देशाधिकरणम्,5.1#देशाधिकरणम्,2.2"
2.1,रावण-,--,रावण,रावण,"तृतीया_तत्पुरुषः,2.2","तृतीया_तत्पुरुषः,2.2"
2.2,पालिताम्,--,पालि{तल्;स्त्री;2;एक}/पालिता{स्त्री;2;एक(पाल्1;क्त;चुरादिः)},पालिता{स्त्री;2;एक(पाल्1;क्त;चुरादिः)},"विशेषणम्,4.1","विशेषणम्,9.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,4.1#विशेषणम्,3.1#कर्म,10.1#कर्म,5.1"
3.1,लङ्काम्,--,लङ्का{स्त्री;2;एक},लङ्का{स्त्री;2;एक},"विशेषणम्,4.1","विशेषणम्,9.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,4.1#कर्म,10.1#कर्म,5.1"
4.1,पुरीम्,--,पुरी{स्त्री;2;एक},पुरी{स्त्री;2;एक},"कर्म,5.1","विशेषणम्,9.1#कर्म,10.1#कर्म,5.1"
5.1,समासाद्य,--,सम्_आङ्_षद्1{अव्य;णिजन्त;ल्यप्;भ्वादिः},सम्_आङ्_षद्1{अव्य;णिजन्त;ल्यप्;भ्वादिः},"पूर्वकालः,10.1","पूर्वकालः,10.1"
6.1,अशोक-,--,अशोक,अशोक,"कर्मधारयः,6.2","कर्मधारयः,6.2"
6.2,वनिकाम्,--,वनिका{स्त्री;2;एक},वनिका{स्त्री;2;एक},"कर्म,7.1","विशेषणम्,9.1#विशेषणम्,8.1#विशेषणम्,7.1#कर्म,10.1#कर्म,8.1#गतिकर्म,7.1"
7.1,गताम्,--,गता{स्त्री;2;एक(गम्1;क्त;भ्वादिः)},गता{स्त्री;2;एक(गम्1;क्त;भ्वादिः)},"विशेषणम्,9.1","विशेषणम्,9.1#विशेषणम्,8.1#कर्म,10.1#कर्म,8.1"
8.1,ध्यायन्तीम्,--,ध्यायन्ती{स्त्री;2;एक(ध्यै1;शतृ_लट्;भ्वादिः)},ध्यायन्ती{स्त्री;2;एक(ध्यै1;शतृ_लट्;भ्वादिः)},"विशेषणम्,9.1","विशेषणम्,9.1#विशेषणम्,7.1#विशेषणम्,6.2#विशेषणम्,4.1#विशेषणम्,3.1#विशेषणम्,2.2#कर्म,10.1"
9.1,सीताम्,--,सीता{स्त्री;2;एक},सीता{स्त्री;2;एक},"कर्म,10.1","कर्म,10.1"
10.1,ददर्श,--,दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},-,-
11.1,.,-,-,-,-,-
