anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"कर्ता,4.1","प्रयोजककर्ता,4.1#गौणकर्म,4.1"
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1"
3.1,अस्य(एनम्),अस्य,इदम्{सर्वनाम;पुं;6;एक},इदम्{सर्वनाम;पुं;6;एक},"कर्म,4.1","मुख्यकर्म,4.1#कर्म,9.1#गौणकर्म,4.1"
4.1,कथयामास,कथयामास,कथ1{कर्तरि;लिट्;उ;एक;परस्मैपदी;चुरादिः}/कथ1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;चुरादिः}/कथ1{कर्तरि;लिट्;म;बहु;परस्मैपदी;चुरादिः}/कथ1{कर्मणि;लिट्;उ;एक;आत्मनेपदी;चुरादिः}/कथ1{कर्मणि;लिट्;प्र;एक;आत्मनेपदी;चुरादिः}/कथ1{कर्मणि;लिट्;म;बहु;आत्मनेपदी;चुरादिः}/कथ1{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;चुरादिः}/कथ1{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;चुरादिः}/कथ1{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;चुरादिः}/कथ1{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;चुरादिः}/कथ1{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;चुरादिः}/कथ1{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;चुरादिः},कथ1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;चुरादिः},"अभिहित_कर्ता,1.1;सकर्मक",-
5.1,शबरीम्,शबरीं,शबरी{स्त्री;2;एक},शबरी{स्त्री;2;एक},"कर्म,9.1","मुख्यकर्म,4.1#कर्म,9.1#गौणकर्म,4.1"
6.1,धर्मचारिणीम्,धर्मचारिणीम्,धर्मचारिणी{स्त्री;2;एक},धर्मचारिणी{स्त्री;2;एक},"विशेषणम्,5.1","विशेषणम्,8.2#विशेषणम्,7.1#विशेषणम्,5.1#मुख्यकर्म,4.1#कर्म,9.1#गौणकर्म,4.1"
7.1,श्रमणाम्,श्रमणां,श्रमणा{स्त्री;2;एक},श्रमणा{स्त्री;2;एक},"विशेषणम्,5.1","विशेषणम्,8.2#विशेषणम्,6.1#विशेषणम्,5.1#मुख्यकर्म,4.1#कर्म,9.1#गौणकर्म,4.1"
8.1,धर्म-,धर्म-निपुणाम्,धर्म,धर्म,"सप्तमी-तत्पुरुषः,8.2","सप्तमी-तत्पुरुषः,8.2"
8.2,निपुणाम्,--,निपुणा{स्त्री;2;एक},निपुणा{स्त्री;2;एक},"विशेषणम्,5.1","विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.1#मुख्यकर्म,4.1#कर्म,9.1#गौणकर्म,4.1"
9.1,अभिगच्छ,अभिगच्छ,अभि_गम्1{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः},अभि_गम्1{कर्तरि;लोट्;म;एक;परस्मैपदी;भ्वादिः},"वाक्यकर्म,4.1","वाक्यकर्म,4.1"
10.1,इति,इति,इति{अव्य},इति{अव्य},"वाक्यकर्म_द्योतकः,9.1","वाक्यकर्म_द्योतकः,9.1"
11.1,राघव,राघव,राघव{पुं;8;एक},राघव{पुं;8;एक},"सम्बोध्यः,9.1","सम्बोध्यः,9.1#सम्बोध्यः,4.1"
12.1,.,.,-,-,-,-
