chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
16,13,1,1.1,इदम्,इदमद्य,इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक},इदम्{नपुं}{1;एक},"कर्म,4.1","कर्म,4.1",यह
16,13,1,2.1,अद्य,0,अद्य{अव्य},अद्य{अव्य},"अधिकरणम्,4.1","अधिकरणम्,4.1",आज
16,13,1,3.1,मया,मया,अस्मद्{3;एक},अस्मद्{3;एक},"कर्ता,4.1","कर्ता,4.1",मैंने
16,13,1,4.1,लब्धम्,लब्धमिमं,लब्ध{पुं}{2;एक}/लब्ध{नपुं}{1;एक}/लब्ध{नपुं}{2;एक},लभ्1{कृत्_प्रत्ययः:क्त;डुलभँष्;भ्वादिः;नपुं}{1;एक},अभिहित_कर्म,अभिहित_कर्म,प्राप्त_कर_लिया_है
16,13,1,5.1,इमम्,0,इदम्{पुं}{2;एक},इदम्{पुं}{2;एक},"विशेषणम्,7.2","विशेषणम्,7.2",इस
16,13,1,6.1,प्राप्स्ये,0,प्र_आप्1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;आपॢँ;स्वादिः}/प्र_आप्1{कर्मणि;लृङ्;उ;एक;आत्मनेपदी;आपॢँ;स्वादिः},प्र_आप्1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;प्र_आपॢँ;स्वादिः},अभिहित_कर्म,अभिहित_कर्म,प्राप्त_कर_लूँगा
16,13,1,7.1,मनः-,मनोरथम्,मनो-,मनो-,"षष्ठी-तत्पुरुषः,7.2","षष्ठी-तत्पुरुषः,7.2",मनोरथ_को
16,13,1,7.2,रथम्,-,मनोरथ{पुं}{2;एक},मनोरथ{पुं}{2;एक},"कर्म,6.1","कर्म,6.1",-
16,13,1,8.1,इदम्,इदमस्तीदमपि,इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक},इदम्{नपुं}{1;एक},"विशेषणम्,15.1","विशेषणम्,15.1",यह
16,13,1,9.1,अस्ति,0,अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},"अभिहित_कर्ता,15.1;अकर्मकः.1","अभिहित_कर्ता,15.1;अकर्मकः.1",है
16,13,1,10.1,इदम्,0,इदम्{नपुं}{1;एक}/इदम्{नपुं}{2;एक},इदम्{नपुं}{1;एक},"कर्ता,13.1","कर्ता,13.1",यह
16,13,1,11.1,अपि,0,अपि{अव्य},अपि{अव्य},"सम्बन्धः,14.1","सम्बन्धः,14.1",भी
16,13,1,12.1,मे,मे,अस्मद्{6;एक},अस्मद्{6;एक},"षष्ठीसम्बन्धः,10.1","षष्ठीसम्बन्धः,10.1",मेरे_पास
16,13,1,13.1,भविष्यति,भविष्यति,अस्2{कर्तरि;लृट्;प्र;एक;परस्मैपदी;असँ;अदादिः}/भू1{कर्तरि;लृट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}/भविष्यत्{पुं}{7;एक}/भविष्यत्{नपुं}{7;एक},भू1{कर्तरि;लृट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},"अभिहित_कर्ता,10.1;अकर्मकः.1","अभिहित_कर्ता,10.1;अकर्मकः.1",हो_जायगा
16,13,1,14.1,पुनः,पुनर्धनम्,पुनः{अव्य},पुनः{अव्य},"क्रियाविशेषणम्,13.1","क्रियाविशेषणम्,13.1",फिर
16,13,1,15.1,धनम्,0,धन{नपुं}{1;एक}/धन{नपुं}{2;एक},धन{नपुं}{1;एक},"कर्ता,9.1","कर्ता,9.1",धन
