2.1,प्रायः,प्रायः,प्रायः{अव्य},प्रायः{अव्य},"क्रियाविशेषणम्,7.1","क्रियाविशेषणम्,7.1#क्रियाविशेषणम्,4.1",प्राय
7.1,प्रतिबद्धाः,प्रतिबद्धाः,प्रतिबद्ध{पुं;1;बहु(प्रति_बन्ध्1;क्त;क्र्यादिः)}/प्रतिबद्धा{स्त्री;1;बहु(प्रति_बन्ध्1;क्त;क्र्यादिः)}/प्रतिबद्धा{स्त्री;2;बहु(प्रति_बन्ध्1;क्त;क्र्यादिः)},प्रतिबद्ध{पुं;1;बहु(प्रति_बन्ध्1;क्त;क्र्यादिः)},"अभिहित_कर्म,4.1","अभिहित_कर्म,4.1",कसे_हुए
5.1,तस्मिन्,तस्मिन्,तद्{सर्वनाम;पुं;7;एक}/तद्{सर्वनाम;नपुं;7;एक},तद्{सर्वनाम;पुं;7;एक},"विशेषणम्,6.1","अधिकरणम्,7.1#विशेषणम्,6.1",उस
1.1,गति-,गति-अपक्षेपण-उतक्षेप-निमेश-उन्मेषण-आदिकाः,गति,गति,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",गति-
1.3,उतक्षेप-,--,-उतक्षेप,-उतक्षेप,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",उतक्षेप-
1.4,निमेश-,--,-निमेश,-निमेश,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",निमेश-
1.5,उन्मेषण-,--,उन्मेषण(उत्_मिष्2;ल्युट्;तुदादिः),उन्मेषण(उत्_मिष्2;ल्युट्;तुदादिः),"बहुव्रीहिः,1.6","बहुव्रीहिः,1.6",-
3.1,सर्वाः,सर्वाः,सर्वा{सर्वनाम;स्त्री;1;बहु}/सर्वा{सर्वनाम;स्त्री;2;बहु},सर्वा{सर्वनाम;स्त्री;1;बहु},"विशेषणम्,4.1","विशेषणम्,7.1#विशेषणम्,4.1#कर्म,4.1",सर्वा
8.1,शरीरिणाम्,शरीरिणाम्,शरीरिन्{पुं;6;बहु},शरीरिन्{पुं;6;बहु},"षष्ठीसम्बन्धः,6.1","षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1",शरीरियों_के
9.1,.,.,-,-,-,-,-
-,-,-,-,-,-,-,-
1.2,अपक्षेपण-,--,अपक्षेपण,अपक्षेपण,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",अपक्षेपण-
1.6,आदिकाः,--,आदिका{स्त्री;1;बहु(आङ्_अद्2;ण्वुल्;अदादिः)}/आदिका{स्त्री;2;बहु(आङ्_अद्2;ण्वुल्;अदादिः)}/आदिका{स्त्री;1;बहु(अद्2;ण्वुल्;अदादिः)}/आदिका{स्त्री;2;बहु(अद्2;ण्वुल्;अदादिः)},आदिका{स्त्री;1;बहु(आङ्_अद्2;ण्वुल्;अदादिः)},"विशेषणम्,4.1","विशेषणम्,7.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्म,4.1",-
4.1,क्रियाः,क्रियाः,कृ2{कर्तरि;आशीर्लिङ्;म;एक;परस्मैपदी;स्वादिः}/कृ3{कर्तरि;आशीर्लिङ्;म;एक;परस्मैपदी;तनादिः}/क्रिया{स्त्री;1;बहु}/क्रिया{स्त्री;2;बहु}/क्रिया{स्त्री;8;बहु},क्रिया{स्त्री;1;बहु},"कर्म,7.1","कर्म,7.1",मार_डालो
6.1,(व्याने),(व्याने),व्यान{पुं;7;एक},व्यान{पुं;7;एक},"अधिकरणम्,7.1","अधिकरणम्,7.1",व्यान_में
