anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,गुरु,गुरु,गुरु{नपुं;1;एक}/गुरु{नपुं;2;एक},गुरु{नपुं;1;एक},"विशेषणम्,3.1","विशेषणम्,3.1#विशेषणम्,6.1#कर्म,7.1#कर्ता_बे_वेर्ब्स्,5.1",-
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1",च1
3.1,अतर्पणम्,अतर्पणम्,अतर्पण{नपुं;1;एक},अतर्पण{नपुं;1;एक},"कर्ता,5.1","कर्ता,5.1",-
4.1,स्थूले,स्थूले,स्थूल{पुं;7;एक}/स्थूल{नपुं;7;एक},स्थूल{पुं;7;एक},"अधिकरणम्,5.1","विशेषणम्,8.1#अधिकरणम्,9.1#अधिकरणम्,7.1#अधिकरणम्,6.1#अधिकरणम्,5.1#विशेषणम्,9.1#विशेषणम्,5.1",विशाल_में
5.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,1.1;सकर्मक","विशेषणम्,9.1#विशेषणम्,8.1",-
6.1,विपरीतम्,विपरीतम्,विपरीत{पुं;2;एक(वि_परि_इ1;क्त;अदादिः)}/विपरीत{नपुं;1;एक(वि_परि_इ1;क्त;अदादिः)}/विपरीत{नपुं;2;एक(वि_परि_इ1;क्त;अदादिः)},विपरीत{नपुं;1;एक(वि_परि_इ1;क्त;अदादिः)},"विशेषणम्,7.1","विशेषणम्,7.1#कर्म,7.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,9.1",उलटा
7.1,हितम्,हितम्,हित{पुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{पुं;2;एक(हि1;क्त;स्वादिः)}/हित{नपुं;1;एक(हि1;क्त;स्वादिः)}/हित{नपुं;2;एक(हि1;क्त;स्वादिः)},हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)},"कर्ता,9.1","विधेय_विशेषणम्,6.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,9.1",हित
8.1,कृशे,कृशे,कृश{पुं;7;एक}/कृश{नपुं;7;एक},कृश{पुं;7;एक},"अधिकरणम्,9.1","अधिकरणम्,9.1",दुर्बल_में
9.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,7.1;सकर्मक","अभिहित_कर्ता,7.1;सकर्मक",होता_है
10.1,.,.,-,-,-,-,-
