anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,कृत्वा,-,कृ2{अव्य;क्त्वा;स्वादिः}/कृ3{अव्य;क्त्वा;तनादिः},कृ2{अव्य;क्त्वा;स्वादिः},"पूर्वकालः,5.1","पूर्वकालः,5.1",-
2.1,शीत-,शीत-उष्ण-वृष्टीनाम्,शीत,शीत,"इतरेतर-द्वन्द्वः,2.3","इतरेतर-द्वन्द्वः,2.3",शीत-
2.2,उष्ण-,--,उष्ण,उष्ण,"इतरेतर-द्वन्द्वः,2.3","इतरेतर-द्वन्द्वः,2.3",उष्ण-
2.3,वृष्टीनाम्,--,वृष्टि{स्त्री;6;बहु}/वृष्टि{पुं;6;बहु}/वृष्टि{नपुं;6;बहु},वृष्टि{स्त्री;6;बहु},"षष्ठीसम्बन्धः,3.1","षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,3.1",बारीशों_के
3.1,प्रतीकारम्,प्रतीकारम्,प्रतीकार{पुं;2;एक},प्रतीकार{पुं;2;एक},"कर्म,1.1","कर्म,5.1#गतिकर्म,7.1#क्रियाविशेषणम्,5.1#कर्म,1.1",प्रतीकार_को
4.1,यथायथम्,यथायथम्,यथायथम्{अव्य},यथायथम्{अव्य},"क्रियाविशेषणम्,1.1","क्रियाविशेषणम्,5.1#क्रियाविशेषणम्,1.1",नियमित_क्रम_में
5.1,प्रयोजयेत्,प्रयोजयेत्,प्र_युज्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपद;चुरादिः},प्र_युज्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपद;चुरादिः},-,-,-
6.1,क्रियाम्,क्रियाम्,क्रिया{स्त्री;2;एक},क्रिया{स्त्री;2;एक},"कर्म,5.1","कर्म,5.1#गतिकर्म,7.1",क्रिया
7.1,प्राप्ताम्,प्राप्ताम्,प्राप्ता{स्त्री;2;एक(प्र_आप्1;क्त;स्वादिः)},प्राप्ता{स्त्री;2;एक(प्र_आप्1;क्त;स्वादिः)},"विशेषणम्,6.1","विशेषणम्,6.1",प्राप्ता
8.1,क्रिया-,क्रिया-कालम्,क्रिया,क्रिया,"षष्ठी-तत्पुरुषः,8.2","षष्ठी-तत्पुरुषः,8.2",क्रिया-
8.2,कालम्,--,काल{पुं;2;एक}/काल{नपुं;1;एक}/काल{नपुं;2;एक},काल{पुं;2;एक},"कर्म,10.1","कर्म,10.1",समय
9.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,10.1","प्रतिषेधः,10.1",नहीं
10.1,हापयेत्,हापयेत्,हा1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;जुहोत्यादिः}/हा2{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;जुहोत्यादिः},हा1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;जुहोत्यादिः},-,-,-
11.1,.,.,-,-,-,-,-
