anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,दूष्यम्,दूष्यम्,दूष्य{नपुं;1;एक}/दूष्य{नपुं;2;एक},दूष्य{नपुं;2;एक},"समुच्चितः,15.2","सुप्_समुच्चितः,12.1#कर्म,16.1#समुच्चितः,15.2",-
2.1,देशम्,देशम्,देश{पुं;2;एक},देश{पुं;2;एक},"समुच्चितः,15.2","सुप्_समुच्चितः,12.1#कर्म,16.1#समुच्चितः,15.2",देश_को
3.1,बलम्,बलम्,बल{नपुं;1;एक}/बल{नपुं;2;एक},बल{नपुं;2;एक},"समुच्चितः,15.2","सुप्_समुच्चितः,12.1#कर्म,16.1#विधेय_विशेषणम्,1.1#समुच्चितः,15.2",बल
4.1,कालम्,कालम्,काल{पुं;2;एक}/काल{नपुं;1;एक}/काल{नपुं;2;एक},काल{पुं;2;एक},"समुच्चितः,15.2","सुप्_समुच्चितः,12.1#कर्म,16.1#विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.1#समुच्चितः,15.2",समय_को
5.1,अनलम्,अनलम्,अनल{पुं;2;एक},अनल{पुं;2;एक},"समुच्चितः,15.2","सुप्_समुच्चितः,12.1#कर्म,16.1#कर्म,12.1#समुच्चितः,15.2",आग_को
6.1,प्रकृतिम्,प्रकृतिम्,प्रकृति{स्त्री;2;एक},प्रकृति{स्त्री;2;एक},"समुच्चितः,15.2","सुप्_समुच्चितः,12.1#कर्म,16.1#कर्म,12.1#समुच्चितः,15.2",प्रकृति_को
7.1,वयः,वयः,वयस्{नपुं;1;एक}/वयस्{नपुं;2;एक}/वयस्{नपुं;8;एक},वयस्{नपुं;2;एक},"समुच्चितः,15.2","समुच्चितः,15.2",आयु
8.1,सत्त्वम्,सत्त्वम्,सत्त्व{पुं;2;एक}/सत्त्व{नपुं;1;एक}/सत्त्व{नपुं;2;एक}/सद्{त्व;नपुं;1;एक}/सद्{त्व;नपुं;2;एक},सत्त्व{पुं;2;एक},"समुच्चितः,15.2","समुच्चितः,15.2",सत्त्व_को
9.1,सात्म्यम्,सात्म्यम्,सात्म्य{नपुं;2;एक},सात्म्य{नपुं;2;एक},"समुच्चितः,15.2","समुच्चितः,15.2",-
10.1,तथा,तथा,तथा{अव्य},तथा{अव्य},"सम्बन्धः,9.1","सम्बन्धः,9.1",और
11.1,आहारम्,आहारम्,आहार{पुं;2;एक},आहार{पुं;2;एक},"समुच्चितः,15.2","समुच्चितः,15.2",आहार_को
12.1,अवस्थाः,अवस्थाः,वस्2{कर्तरि;लङ्;म;एक;आत्मनेपदी;अदादिः}/अवस्था{स्त्री;1;बहु}/अवस्था{स्त्री;2;बहु}/अवस्था{स्त्री;8;बहु}/अवस्थ{पुं;1;बहु(अव_ष्था1;घञ्;भ्वादिः)},अवस्था{स्त्री;2;बहु},"विशेषणम्,15.2","विशेषणम्,15.2#कर्ता_बे_वेर्ब्स्,14.1#कर्ता,14.1#कर्म,16.1",निश्चल_हुए
13.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,15.2","सुप्_समुच्चय_द्योतकः,15.2#सम्बन्धः,12.1",और
14.1,पृथग्-,पृथग्-,पृथग्-,पृथग्-,"केवलसमासः,4.2","केवलसमासः,4.2",हैं
14.2,विधाः,विधाः,विधा{स्त्री;2;बहु}/विध{पुं;1;बहु},विधा{स्त्री;2;बहु},"विशेषणम्,15.1","विशेषणम्,15.1",-
15.1,सूक्ष्म-,सूक्ष्म-,सूक्ष्म-,सूक्ष्म-,"इतरेतर-द्वन्द्वः,15.2","इतरेतर-द्वन्द्वः,15.2",-
15.2,सूक्ष्माः,सूक्ष्माः,सूक्ष्मा{स्त्री;2;बहु},सूक्ष्मा{स्त्री;2;बहु},"कर्म,16.1","कर्म,16.1",-
16.1,समीक्ष्य,समीक्ष्य,सम्_ईक्ष्1{अव्य;ल्यप्;भ्वादिः},सम्_ईक्ष्1{अव्य;ल्यप्;भ्वादिः},"पूर्वकालः,20.1","पूर्वकालः,24.1#पूर्वकालः,20.1",समीक्षा_करके
