anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,तत्-,तत्-औषधम्,तत्,तत्,"षष्ठी-तत्पुरुषः,1.2","षष्ठी-तत्पुरुषः,1.2",तत्-
1.2,औषधम्,--,औषध{पुं;2;एक}/औषध{नपुं;1;एक}/औषध{नपुं;2;एक},औषध{नपुं;1;एक},"कर्ता,7.1","विशेषणम्,5.2#विशेषणम्,4.1#सुप्_समुच्चितः,5.2#सुप्_समुच्चितः,2.3#कर्म,4.1#कर्ता_बे_वेर्ब्स्,7.1",औषधि_को
2.1,वर्ती-,वर्ती-अभ्यङ्ग-अवगाहाः,वर्ती,वर्ती,"इतरेतर-द्वन्द्वः,2.3","इतरेतर-द्वन्द्वः,2.3",वर्ती-
2.2,अभ्यङ्ग-,--,अभ्यङ्ग(अभि_वि_अन्ज्1;घञ्;रुधादिः),अभ्यङ्ग(अभि_वि_अन्ज्1;घञ्;रुधादिः),"इतरेतर-द्वन्द्वः,2.3","इतरेतर-द्वन्द्वः,2.3",-
2.3,अवगाहाः,--,अवगाह{पुं;8;बहु}/अवगाह{पुं;1;बहु(अव_गाह्1;घञ्;भ्वादिः)}/अवगाहा{स्त्री;8;बहु}/अवगाहा{स्त्री;1;बहु}/अवगाहा{स्त्री;2;बहु},अवगाह{पुं;1;बहु(अव_गाह्1;घञ्;भ्वादिः)},"समुच्चितः,5.2","सुप्_समुच्चितः,5.2#कर्म,4.1",अवगाहों_को
3.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,2.3","सुप्_समुच्चय_द्योतकः,2.3#सम्बन्धः,2.3",और
4.1,स्वेदनम्,स्वेदनम्,स्वेदन{नपुं;1;एक(ष्विद्1;ल्युट्;भ्वादिः)}/स्वेदन{नपुं;2;एक(ष्विद्1;ल्युट्;भ्वादिः)}/स्वेदन{नपुं;1;एक(ष्विद्2;ल्युट्;दिवादिः)}/स्वेदन{नपुं;2;एक(ष्विद्2;ल्युट्;दिवादिः)},स्वेदन{नपुं;1;एक(ष्विद्1;ल्युट्;भ्वादिः)},"समुच्चितः,5.2","सुप्_समुच्चितः,5.2#विधेय_विशेषणम्,1.2#कर्ता_बे_वेर्ब्स्,7.1",पसीना
5.1,बस्ति-,बस्ति-कर्म,बस्ति,बस्ति,"कर्मधारयः,5.2","कर्मधारयः,5.2",बस्ति-
5.2,कर्म,--,कर्मन्{नपुं;1;एक}/कर्मन्{नपुं;2;एक}/कर्म{पुं;8;एक}/कर्म{नपुं;8;एक},कर्मन्{नपुं;1;एक},"विधेय_विशेषणम्,1.2","विशेषणम्,4.1#विशेषणम्,1.2#कर्म,4.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,1.2#सुप्_समुच्चितः,2.3#कर्ता_बे_वेर्ब्स्,7.1",कर्म
6.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,5.2","सुप्_समुच्चय_द्योतकः,5.2#सम्बन्धः,5.2",और
7.1,(भवति),भवति,भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,1.2;सकर्मक",-,होता_है
8.1,.,.,-,-,-,-,-
