anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,(रूक्षाद्याः),(रूक्षाद्याः),रूक्षाद्य{पुं;1;बहु},रूक्षाद्य{पुं;1;बहु},"कर्ता,4.1","कर्ता,4.1",-
2.1,शीतेन,शीतेन,शीत{पुं;3;एक}/शीत{नपुं;3;एक},शीत{पुं;3;एक},"हेतुः,4.1","विशेषणम्,5.1#सुप्_समुच्चितः,5.1#करणम्,8.1#करणम्,4.1#हेतुः,8.1#हेतुः,4.1",शीत_से
3.1,कोपम्,कोपम्,कोप{पुं;2;एक},कोप{पुं;2;एक},"कर्म,4.1","कर्म,8.1#कर्म,4.1",क्रोध
4.1,कुर्वन्ति,कुर्वन्ति,कृ3{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तनादिः}/कुर्वत्{नपुं;1;बहु(कृ3;शतृ_लट्;तनादिः)}/कुर्वत्{नपुं;2;बहु(कृ3;शतृ_लट्;तनादिः)},कृ3{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तनादिः},-,-,करते_हुए
5.1,उष्णेन,उष्णेन,उष्ण{पुं;3;एक}/उष्ण{नपुं;3;एक},उष्ण{पुं;3;एक},"हेतुः,8.1","करणम्,8.1#हेतुः,8.1",गर्म_से
6.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,5.1","सुप्_समुच्चय_द्योतकः,5.1#समुच्चय_द्योतकः,8.1#सम्बन्धः,5.1",च2
7.1,शमम्,शमम्,शम{पुं;2;एक}/शम{नपुं;1;एक}/शम{नपुं;2;एक},शम{पुं;2;एक},"कर्म,8.1","कर्म,8.1",शान्ति
8.1,कुर्वन्ति,कुर्वन्ति,कृ3{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तनादिः}/कुर्वत्{नपुं;1;बहु(कृ3;शतृ_लट्;तनादिः)}/कुर्वत्{नपुं;2;बहु(कृ3;शतृ_लट्;तनादिः)},कृ3{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तनादिः},"अभिहित_कर्ता,10.1;सकर्मक","अभिहित_कर्ता,10.1;सकर्मक",करते_हैं
9.1,स्निग्ध-,स्निग्धादयः,स्निग्ध-,स्निग्ध-,"बहुव्रीहिः,9.2","बहुव्रीहिः,9.2",-
9.2,आदयः,स्निग्धादयः,स्निग्धादि{पुं;1;बहु},स्निग्धादि{पुं;1;बहु},"विधेय_विशेषणम्,10.1","विधेय_विशेषणम्,10.1",-
10.1,गुणाः,गुणाः,गुण{पुं;1;बहु}/गुणा{स्त्री;1;बहु}/गुणा{स्त्री;2;बहु}/गुण{पुं;8;बहु},गुण{पुं;1;बहु},"कर्ता,8.1","कर्ता,8.1",गुण
11.1,.,.,-,-,-,-,-
