anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,देह-,देह-वाक्-चेतसाम्,देह,देह,"इतरेतर-द्वन्द्वः,1.3","इतरेतर-द्वन्द्वः,1.3",देह-
1.2,वाक्-,--,वाच्,वाच्,"इतरेतर-द्वन्द्वः,1.3","इतरेतर-द्वन्द्वः,1.3",वाक्-
1.3,चेतसाम्,--,चेतस्{पुं;6;बहु},चेतस्{पुं;6;बहु},"षष्ठीसम्बन्धः,2.1","षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.2#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,2.1",-
2.1,चेष्टाः,चेष्टाः,चेष्टा{स्त्री;1;बहु}/चेष्टा{स्त्री;2;बहु}/चेष्टा{स्त्री;8;बहु},चेष्टा{स्त्री;2;बहु},"कर्म,5.1","कर्म,5.1",चेष्टायें
3.1,प्राक्,प्राक्,प्राक्{अव्य}/प्राश्{स्त्री;1;एक},प्राक्{अव्य},"कालाधिकरणम्,5.1","देशाधिकरणम्_उप,9.1#देशाधिकरणम्_उप,5.1#प्रयोजककर्ता,5.1#कर्ता,9.1#कालाधिकरणम्,9.1#कालाधिकरणम्,5.1",होठों_से_लगाना
4.1,श्रमात्,श्रमात्,श्रम{पुं;5;एक},श्रम{पुं;5;एक},"सन्दर्भ_बिन्दुः,3.1","उप_अपेक्षा,3.1#हेतुः5,9.1#हेतुः5,5.1#सन्दर्भ_बिन्दुः,3.1",श्रम_से
5.1,विनिवर्तयेत्,विनिवर्तयेत्,वि_नि_वृत्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},वि_नि_वृत्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,-,-
6.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,9.1","प्रतिषेधः,9.1",नहीं
7.1,ऊर्ध्व-,ऊर्ध्व-जानुः,ऊर्ध्व,ऊर्ध्व,"षष्ठ्यर्थ-बहुव्रीहिः,7.2","षष्ठ्यर्थ-बहुव्रीहिः,7.2",ऊर्ध्व-
7.2,जानुः,--,जानु{पुं;1;एक},जानु{पुं;1;एक},"कर्ता,9.1","प्रयोजककर्ता,5.1#कर्ता,9.1",जानु
8.1,चिरम्,चिरम्,चिरम्{अव्य}/चिर{नपुं;1;एक}/चिर{नपुं;2;एक},चिरम्{अव्य},"क्रियाविशेषणम्,9.1","प्रयोजककर्ता,5.1#कर्ता,9.1#क्रियाविशेषणम्,9.1#क्रियाविशेषणम्,5.1",अधिक
9.1,तिष्ठेत्,तिष्ठेत्,ष्था1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},ष्था1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,7.2",-,रहे
10.1,.,.,-,-,-,-,-
