anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,विशेषात्,विशेषात्,विशेष{पुं;5;एक(वि_शिष्2;घञ्;रुधादिः)}/विशेष{पुं;5;एक(वि_शिष्3;घञ्;चुरादिः)},विशेष{पुं;5;एक(वि_शिष्2;घञ्;रुधादिः)},"क्रियाविशेषणम्,5.1","हेतुः5,5.1#हेतुः5,4.1#हेतुः5,3.1#हेतुः5,2.2#क्रियाविशेषणम्,5.1",विशेष_से
2.1,मेद्य-,मेद्य-पिशित-रस-तैल-अनुवासनम्,मेद्य(मिद्2;ण्यत्;भ्वादिः)}/मेद्य(मिद्3{ण्यत्;दिवादिः),मेद्य(मिद्2;ण्यत्;भ्वादिः),"कर्मधारयः,2.2","कर्मधारयः,2.2",-
2.2,पिशित-,--,पिशित(पिश्1;क्त;तुदादिः),पिशित(पिश्1;क्त;तुदादिः),"षष्ठी-तत्पुरुषः,2.5","षष्ठी-तत्पुरुषः,2.5",-
2.3,रस-,--,रस,रस,"इतरेतर-द्वन्द्वः,2.5","इतरेतर-द्वन्द्वः,2.5",रस-
2.4,तैल-,--,तैल,तैल,"इतरेतर-द्वन्द्वः,2.5","इतरेतर-द्वन्द्वः,2.5",तैल-
2.5,अनुवासनम्,--,अनुवासन{पुं;2;एक}/अनुवासन{नपुं;1;एक},अनुवासन{नपुं;1;एक},"कर्ता,5.1","कर्म,3.1#भ्कर्म,3.1#विधेय_विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,5.1",अनुवासन_की
3.1,(वातस्य),वातस्य,वात{पुं;6;एक(वा1;क्त;अदादिः)}/वात{नपुं;6;एक(वा1;क्त;अदादिः)},वात{पुं;6;एक(वा1;क्त;अदादिः)},"षष्ठीसम्बन्धः,4.1","कर्ता,4.1#कर्म,4.1#कर्म,1.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,2.5#षष्ठीसम्बन्धः,1.1#भावलक्षणसप्तमी_पूर्वकालः,5.1",हवा_का
4.1,(उपक्रमः),उपक्रमः,उपक्रम{पुं;1;एक}/उपक्रम{पुं;1;एक(उप_क्रम्1;घञ्;भ्वादिः)},उपक्रम{पुं;1;एक(उप_क्रम्1;घञ्;भ्वादिः)},"विधेय_विशेषणम्,2.5","कर्ता_बे_वेर्ब्स्,5.1#विधेय_विशेषणम्,2.5",उपक्रम
5.1,(भवति),भवति,भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,4.1;सकर्मक",-,होता_है
6.1,.,.,-,-,-,-,-
