anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,विमलेन्द्रियता,विमलेन्द्रियता,विमलेन्द्रियता{तल्;स्त्री;1;एक},विमलेन्द्रियता{तल्;स्त्री;1;एक},"समुच्चितः,10.2","समुच्चितः,10.2",-
2.1,सर्गः,सर्गः,सर्ग{पुं;1;एक},सर्ग{पुं;1;एक},"समुच्चितः,10.2","समुच्चितः,10.2",छोड़ना
3.1,मलानाम्,मलानाम्,मल{पुं;6;बहु},मल{पुं;6;बहु},"षष्ठीसम्बन्धः,2.1","षष्ठीसम्बन्धः,2.1",मल_का
4.1,लाघवम्,लाघवम्,लाघव{नपुं;1;एक}/लाघव{नपुं;2;एक},लाघव{नपुं;1;एक},"समुच्चितः,10.2","समुच्चितः,10.2",लघुता
5.1,रुचिः,रुचिः,रुचि{स्त्री;1;एक},रुचि{स्त्री;1;एक},"समुच्चितः,10.2","समुच्चितः,10.2",रुचि
6.1,क्षुत्-,क्षुत्-तृट्-सहोदयः,क्षुत्,क्षुत्,"इतरेतर-द्वन्द्वः,6.2","इतरेतर-द्वन्द्वः,6.2",क्षुत्-
6.2,तृट्-,--,-तृट्,-तृट्,"षष्ठी-तत्पुरुषः,6.3","षष्ठी-तत्पुरुषः,6.3",तृट्-
6.3,सहोदयः,--,सहोदय{पुं;1;एक},सहोदय{पुं;1;एक},"समुच्चितः,10.2","समुच्चितः,10.2",-
7.1,शुद्ध-,शुद्ध-हृदय-उद्गार-कण्ठता,शुद्ध,शुद्ध,"कर्मधारयः,7.4","कर्मधारयः,7.4",शुद्ध-
7.2,हृदय-,--,हृदय,हृदय,"इतरेतर-द्वन्द्वः,7.4","इतरेतर-द्वन्द्वः,7.4",हृदय-
7.3,उद्गार-,--,उद्गार(उत्_गॄ1;घञ्;तुदादिः),उद्गार(उत्_गॄ1;घञ्;तुदादिः),"इतरेतर-द्वन्द्वः,7.4","इतरेतर-द्वन्द्वः,7.4",-
7.4,कण्ठता,--,कण्ठ{तल्;स्त्री;1;एक},कण्ठ{तल्;स्त्री;1;एक},"समुच्चितः,10.2","समुच्चितः,10.2",कण्ठ
8.1,व्याधि-,व्याधि-मार्दवम्,व्याधि,व्याधि,"षष्ठी-तत्पुरुषः,8.2","षष्ठी-तत्पुरुषः,8.2",व्याधि-
8.2,मार्दवम्,--,मार्दव{नपुं;1;एक}/मार्दव{नपुं;2;एक}/मार्दव{पुं;2;एक},मार्दव{नपुं;1;एक},"समुच्चितः,10.2","कर्म,12.1#सुप्_समुच्चितः,10.2",कोमलता
9.1,उत्साहः,उत्साहः,उत्साह{पुं;1;एक},उत्साह{पुं;1;एक},"समुच्चितः,10.2","सुप्_समुच्चितः,10.2",उत्साह
10.1,तन्द्रा-,तन्द्रा-नाशः,तन्द्रा,तन्द्रा,"षष्ठी-तत्पुरुषः,10.2","षष्ठी-तत्पुरुषः,10.2",तन्द्रा-
10.2,नाशः,--,नाश{पुं;1;एक},नाश{पुं;1;एक},"कर्ता,12.1","कर्ता,12.1",नाश
11.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,10.2","सुप्_समुच्चय_द्योतकः,10.2#सम्बन्धः,10.2",और
12.1,लङ्घिते,लङ्घिते,लङ्घित{नपुं;1;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घित{नपुं;2;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घिता{स्त्री;1;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घिता{स्त्री;2;द्वि(लघ्1;क्त;भ्वादिः)}/लङ्घित{नपुं;1;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घित{नपुं;2;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घिता{स्त्री;1;द्वि(लघ्2;क्त;भ्वादिः)}/लङ्घिता{स्त्री;2;द्वि(लघ्2;क्त;भ्वादिः)},लङ्घित{नपुं;1;द्वि(लघ्1;क्त;भ्वादिः)},"अभिहित_कर्ता,10.2","अभिहित_कर्ता,10.2",कूदा_हुवे
13.1,.,.,-,-,-,-,-
