anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,लवणः,लवणः,लवण{पुं;1;एक},लवण{पुं;1;एक},"कर्ता,10.1","विशेषणम्,6.1#कर्ता_बे_वेर्ब्स्,10.1",नमक
2.1,स्तम्भ-,स्तम्भ-सङ्घात-बन्ध--,स्तम्भ(सम्_ष्तभ्1;घञ्;भ्वादिः),स्तम्भ(सम्_ष्तभ्1;घञ्;भ्वादिः),"इतरेतर-द्वन्द्वः,2.3","त_पु_7,2.3#त_पु_6,2.3#इतरेतर-द्वन्द्वः,2.3",-
2.2,सङ्घात-,--,सङ्घात,सङ्घात,"इतरेतर-द्वन्द्वः,2.3","त_पु_7,2.3#त_पु_6,2.3#इतरेतर-द्वन्द्वः,2.3",सङ्घात-
2.3,बन्ध-,--,बन्ध,बन्ध,"षष्ठी-तत्पुरुषः,2.4","षष्ठी-तत्पुरुषः,2.4",बन्ध-
2.4,विध्मापनः,--,विध्मापन{पुं;1;एक},विध्मापन{पुं;1;एक},"समुच्चितः,8.3","विशेषणम्,10.1#सुप्_समुच्चितः,8.3",-
3.1,अग्नि-,अग्निकृत्,अग्नि,अग्नि,"उपपद-तत्पुरुषः,3.2","उपपद-तत्पुरुषः,3.2",-
3.2,कृत्,-,कृत्{पुं;8;एक}/कृत्{पुं;1;एक},कृत्{पुं;1;एक},"समुच्चितः,8.3","विशेषणम्,10.1#सुप्_समुच्चितः,8.3",-
4.1,स्नेहनः,स्नेहनः,स्नेहन{पुं;1;एक},स्नेहन{पुं;1;एक},"समुच्चितः,8.3","विशेषणम्,10.1#सुप्_समुच्चितः,8.3",-
5.1,स्वेदनः,स्वेदनः,स्वेदन{पुं;1;एक},स्वेदन{पुं;1;एक},"समुच्चितः,8.3","विशेषणम्,10.1#सुप्_समुच्चितः,8.3",-
6.1,तीक्ष्णः,तीक्ष्णः,तीक्ष्ण{पुं;1;एक},तीक्ष्ण{पुं;1;एक},"समुच्चितः,8.3","कर्ता_बे_वेर्ब्स्,10.1#विशेषणम्,10.1#सुप्_समुच्चितः,8.3",तेज
7.1,रोचनः,रोचनः,रोचन{पुं;1;एक},रोचन{पुं;1;एक},"समुच्चितः,8.3","विशेषणम्,10.1#सुप्_समुच्चितः,8.3",-
8.1,छेद-,छेद-भेद-कृत्,छेद,छेद,"इतरेतर-द्वन्द्वः,8.2","त_पु_6,8.3#इतरेतर-द्वन्द्वः,8.2",छेद-
8.2,भेद-,--,भेद,भेद,"उपपद-तत्पुरुषः,8.3","त_पु_6,8.3#उपपद-तत्पुरुषः,8.3",भेद-
8.3,कृत्,--,कृत्{पुं;8;एक}/कृत्{पुं;1;एक},कृत्{पुं;1;एक},"विधेय_विशेषणम्,1.1","विशेषणम्,10.1#विधेय_विशेषणम्,1.1",कृत्
9.1,(च),(च),च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.3","सम्बन्धः,8.3#सुप्_समुच्चय_द्योतकः,8.3",और
10.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,6.1",-,होता_है
11.1,.,.,-,-,-,-,-
