anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,स्थूलान्,स्थूलान्,स्थूल{पुं;2;बहु},स्थूल{पुं;2;बहु},"कर्म,3.1","विशेषणम्,7.1#सुप्_समुच्चितः,7.1#कर्म,3.1",विशाल
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1",च1
3.1,लङ्घयेत्,लङ्घयेत्,लघ्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}/लघ्2{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},लघ्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,-,-
4.1,नित्यम्,नित्यम्,नित्य{पुं;2;एक}/नित्य{नपुं;1;एक}/नित्य{नपुं;2;एक}/नित्यम्{अव्य},नित्यम्{अव्य},"क्रियाविशेषणम्,3.1","सुप्_समुच्चितः,7.1#क्रियाविशेषणम्,3.1",नित्य
5.1,शिशिरे,शिशिरे,शिशिर{पुं;7;एक}/शिशिर{नपुं;7;एक},शिशिर{पुं;7;एक},"कालाधिकरणम्,3.1","कालाधिकरणम्,3.1",ठंढे_में
6.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,5.1","सम्बन्धः,5.1",तो
7.1,अपरान्,अपरान्,अपर{पुं;2;बहु}/अपर{सर्वनाम;पुं;2;बहु},अपर{पुं;2;बहु},"अन्यतरः,1.1","अन्यतरः,1.1",दूसरों_को
8.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"अन्यतर_द्योतकः,3.1","सुप्_समुच्चय_द्योतकः,7.1#सम्बन्धः,7.1#अन्यतर_द्योतकः,3.1",भी
9.1,.,.,-,-,-,-,-
