anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,तस्मात्,तस्मात्,तद्{सर्वनाम;पुं;5;एक}/तद्{सर्वनाम;नपुं;5;एक},तद्{सर्वनाम;पुं;5;एक},"हेतुः,2.1","हेतुः,2.1",उससे
2.1,विकार-,विकार-,विकार(वि_कॄ1;घञ्;तुदादिः)}/विकार(वि_कृ3{घञ्;तनादिः)}/विकार(वि_कृ2{घञ्;स्वादिः),विकार(वि_कॄ1;घञ्;तुदादिः),"षष्ठी-तत्पुरुषः,2.2","षष्ठी-तत्पुरुषः,2.2",-
2.2,प्रकृतीः,प्रकृतीः,प्रकृति{स्त्री;2;बहु},प्रकृति{स्त्री;2;बहु},"कर्म,5.1","कर्म,5.1",-
3.1,अधिष्ठानान्तराणि,अधिष्ठानान्तराणि,अधिष्ठानान्तर{नपुं;2;बहु},अधिष्ठानान्तर{नपुं;2;बहु},"समुच्चितः,2.2","समुच्चितः,2.2",-
4.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,2.2","समुच्चय_द्योतकः,2.2",और
5.1,बुद्ध्वा,बुद्ध्वा,बुध्3{अव्य;क्त्वा;दिवादिः},बुध्3{अव्य;क्त्वा;दिवादिः},"पूर्वकालः,9.1","पूर्वकालः,9.1",जान_कर
6.1,हेतु-,हेतु-विशेषान्,हेतु,हेतु,"षष्ठी-तत्पुरुषः,6.2","षष्ठी-तत्पुरुषः,6.2",हेतु-
6.2,विशेषान्,--,विशेष{पुं;2;बहु(वि_शिष्2;घञ्;रुधादिः)}/विशेष{पुं;2;बहु(वि_शिष्3;घञ्;चुरादिः)},विशेष{पुं;2;बहु(वि_शिष्2;घञ्;रुधादिः)},"कर्म,9.1","कर्म,9.1",विशेष
7.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,6.2","सुप्_समुच्चय_द्योतकः,6.2#सम्बन्धः,6.2",च2
8.1,शीघ्रम्,शीघ्रम्,शीघ्रम्{अव्य},शीघ्रम्{अव्य},"क्रियाविशेषणम्,9.1","क्रियाविशेषणम्,9.1",शीघ्र
9.1,कुर्यात्,कुर्यात्,कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;तनादिः},कृ3{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;तनादिः},-,-,करे
10.1,उपक्रमम्,उपक्रमम्,उपक्रम{पुं;2;एक}/उपक्रम{पुं;2;एक(उप_क्रम्1;घञ्;भ्वादिः)},उपक्रम{पुं;2;एक},"समुच्चितः,6.2","समुच्चितः,6.2",उपक्रम_को
11.1,.,.,-,-,-,-,-
