anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
2.1,अति-,अति-सूक्ष्माणाम्,अति,अति,"तृतीया-तत्पुरुषः,2.2","तृतीया-तत्पुरुषः,2.2",अति-
2.2,सूक्ष्माणाम्,--,सूक्ष्म{पुं;6;बहु}/सूक्ष्म{नपुं;6;बहु}/सूक्ष्मा{स्त्री;6;बहु},सूक्ष्म{पुं;6;बहु},"विशेषणम्,1.1","विशेषणम्,1.1",महीनों_का
3.1,दुर्-,दुर्-लक्ष्यम्,दुर्,दुर्,"अव्ययीभावः,3.2","अव्ययीभावः,3.2",दुर्-
3.2,लक्ष्यम्,--,लक्ष्य{पुं;2;एक(लक्ष्1;यत्;चुरादिः)}/लक्ष्य{नपुं;1;एक(लक्ष्1;यत्;चुरादिः)}/लक्ष्य{नपुं;2;एक(लक्ष्1;यत्;चुरादिः)}/लक्ष्य{पुं;2;एक(लक्ष्2;यत्;चुरादिः)}/लक्ष्य{नपुं;1;एक(लक्ष्2;यत्;चुरादिः)}/लक्ष्य{नपुं;2;एक(लक्ष्2;यत्;चुरादिः)},लक्ष्य{नपुं;1;एक(लक्ष्1;यत्;चुरादिः)},"विशेषणम्,5.1","विशेषणम्,5.1#कर्म,4.1#प्रयोजककर्ता,4.1",लक्ष्य
4.1,लक्षयेत्,लक्षयेत्,लक्ष्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;चुरादिः}/लक्ष्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;चुरादिः}/लक्ष्2{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;चुरादिः},लक्ष्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;चुरादिः},"अभिहित_कर्ता,3.2;सकर्मक",-,देखे
5.1,क्षयम्,क्षयम्,क्षय{पुं;2;एक}/क्षय{नपुं;1;एक}/क्षय{नपुं;2;एक},क्षय{पुं;2;एक},"कर्म,4.1","कर्म,4.1",क्षय_को
6.1,स्व-,स्व-मल-अयन-संशोष-तोद-शून्यत्व-लाघवैः,स्व-,स्व-,"इतरेतर-द्वन्द्वः,6.3","इतरेतर-द्वन्द्वः,6.3",स्व-
6.2,मल-,--,मल,मल,"षष्ठी-तत्पुरुषः,6.3","षष्ठी-तत्पुरुषः,6.3",मल-
6.3,अयन-,--,अयन(इ1;ल्युट्;अदादिः),अयन(इ1;ल्युट्;अदादिः),"षष्ठी-तत्पुरुषः,6.7","षष्ठी-तत्पुरुषः,6.7",-
6.4,संशोष-,--,संशोष(सम्_शुष्1;घञ्;दिवादिः),संशोष(सम्_शुष्1;घञ्;दिवादिः),"इतरेतर-द्वन्द्वः,6.7","इतरेतर-द्वन्द्वः,6.7",-
6.5,तोद-,--,तोद,तोद,"इतरेतर-द्वन्द्वः,6.7","इतरेतर-द्वन्द्वः,6.7",तोद-
6.6,शून्यत्व-,--,शून्य{त्व},शून्य{त्व},"इतरेतर-द्वन्द्वः,6.7","इतरेतर-द्वन्द्वः,6.7",शून्यत्व-
6.7,लाघवैः,--,लाघव{नपुं;3;बहु}/लाघव{पुं;3;बहु},लाघव{नपुं;3;बहु},"करणम्,4.1","करणम्,4.1",लघुतों_से
