anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,संसर्गः,संसर्गः,संसर्ग{पुं;1;एक},संसर्ग{पुं;1;एक},"कर्ता,3.1","कर्ता_बे_वेर्ब्स्,3.1",संगति
2.1,त्रिधा,त्रिधा,त्रि{अव्य;धा},त्रि{अव्य;धा},"विधेय_विशेषणम्,1.1","विधेय_विशेषणम्,1.1",त्रि_धा
3.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,1.1;सकर्मक","अभिहित_कर्ता,1.1;सकर्मक",होती_है
4.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,8.1","देशाधिकरणम्,8.1",वहाँ
5.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,4.1","सम्बन्धः,4.1",तो
6.1,तान्,तान्,तद्{सर्वनाम;पुं;2;बहु},तद्{सर्वनाम;पुं;2;बहु},"कर्म,8.1","विशेषणम्,7.1#कर्म,8.1",वे
7.1,नव,नव,नवन्{संख्येयम्;1;बहु}/नवन्{संख्येयम्;2;बहु}/नवन्{संख्या;नपुं;1;बहु}/नवन्{संख्या;नपुं;2;बहु}/नव{पुं;8;एक}/नव{नपुं;8;एक},नवन्{संख्येयम्;2;बहु},"विधेय_विशेषणम्,6.1","कर्मसमानाधिकरणम्,6.1#कर्म,8.1",नवन्_ओं_को
8.1,(विद्धि),(विद्धि),विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;अदादिः},विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;अदादिः},-,-,समझो
9.1,.,.,-,-,-,-,-
