anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,कफ-,कफ-अपह,कफ,कफ,"उपपद-तत्पुरुषः,1.2","त_पु_6,1.2",कफ-
1.2,अपहः,--,अपह{पुं;1;एक},अपह{पुं;1;एक},"विशेषणम्,3.1","विशेषणम्,3.1#कर्ता,2.1",दूर_करने_वाला
2.1,कुरुते,कुरुते,कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तनादिः},कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तनादिः},"अभिहित_कर्ता,3.1","अभिहित_कर्ता,3.1",करता_है
3.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"कर्ता,2.1","विशेषणम्,1.2#कर्ता,2.1",वह
4.1,अतियोगेन,अतियोगेन,अतियोग{पुं;3;एक},अतियोग{पुं;3;एक},"करणम्,2.1","करणम्,2.1",-
5.1,तृष्णाम्,तृष्णाम्,तृष्णा{स्त्री;2;एक},तृष्णा{स्त्री;2;एक},"समुच्चितः,11.1","सुप्_समुच्चितः,11.1#कर्म,2.1",प्यास_को
6.1,शुक्र-,शुक्र-बल-क्षय,शुक्र,शुक्र,"इतरेतर-द्वन्द्वः,6.2","त_पु_7,6.2#त_पु_6,6.3#इतरेतर-द्वन्द्वः,6.2",शुक्र-
6.2,बल-,--,बल,बल,"इतरेतर-द्वन्द्वः,6.3","त_पु_6,6.3#इतरेतर-द्वन्द्वः,6.3",बल-
6.3,क्षयम्,--,क्षय{पुं;2;एक}/क्षय{नपुं;1;एक}/क्षय{नपुं;2;एक},क्षय{पुं;2;एक},"समुच्चितः,11.1","सुप्_समुच्चितः,11.1#कर्म,2.1#कर्ता,2.1#विशेषणम्,9.1",क्षय_को
7.1,मूर्च्छाम्,मूर्च्छाम्,मूर्च्छा{स्त्री;2;एक},मूर्च्छा{स्त्री;2;एक},"समुच्चितः,11.1","समुच्चितः,11.1",-
8.1,आकुञ्चनम्,आकुञ्चनम्,आकुञ्च{नपुं;2;एक},आकुञ्च{नपुं;2;एक},"समुच्चितः,11.1","समुच्चितः,11.1",-
9.1,कम्पम्,कम्पम्,कम्प{पुं;2;एक},कम्प{पुं;2;एक},"समुच्चितः,11.1","सुप्_समुच्चितः,11.1#कर्म,2.1",कम्प_को
10.1,कटि-,कटि-पृष्ठ-आदि,कटि}/कटी,कटि,"समाहार-द्वन्द्वः,10.2","त_पु_6,10.3#समाहार-द्वन्द्वः,10.2",कटि-
10.2,पृष्ठ-,--,पृष्ठ,पृष्ठ,"समाहार-द्वन्द्वः,10.3","त_पु_6,10.3#समाहार-द्वन्द्वः,10.3",पृष्ठ-
10.3,आदिषु,--,आदि{पुं;7;बहु}/आदि{नपुं;7;बहु}/आदि{स्त्री;7;बहु},आदि{पुं;7;बहु},"अधिकरणम्,2.1","अधिकरणम्,2.1",पहेलों_में
11.1,व्यथाम्,व्यथाम्,व्यथा{स्त्री;2;एक},व्यथा{स्त्री;2;एक},"कर्म,2.1","कर्म,2.1",दुःख_को
12.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,11.1","सुप्_समुच्चय_द्योतकः,11.1#सम्बन्धः,11.1",और
13.1,.,.,-,-,-,-,-
