anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,6.1","देशाधिकरणम्,6.1",वहाँ
2.1,द्रव्यम्,द्रव्यम्,द्रव्य{नपुं;1;एक}/द्रव्य{नपुं;2;एक}/द्रव्य{पुं;2;एक},द्रव्य{नपुं;1;एक},"कर्ता,6.1","कर्म,6.1#कर्ता,6.1",द्रव्य
3.1,शुभ-,शुभा-शुभ,शुभ,शुभ,"द्वन्द्वः,3.2","त_पु_6,3.2#त_पु_3,3.2",शुभ-
3.2,अशुभम्,--,अशुभ{पुं;2;एक}/शुभ{नपुं;1;एक}/शुभ{नपुं;2;एक},शुभ{नपुं;1;एक},"विशेषणम्,2.1","विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,4.1#विशेषणम्,2.1#कर्म,6.1#कर्ता,6.1",अशुभ
4.1,किञ्चित्,किञ्चित्,किञ्चित्{अव्य}/किञ्चित्{सर्वनाम;नपुं;1;एक}/किञ्चित्{सर्वनाम;नपुं;2;एक},किञ्चित्{सर्वनाम;नपुं;1;एक},"विशेषणम्,2.1","विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,3.2#विशेषणम्,2.1#कर्म,6.1#कर्ता,6.1",कुछ
5.1,रसेन,रसेन,रस{पुं;3;एक},रस{पुं;3;एक},"समुच्चितः,8.1","सुप्_समुच्चितः,8.1#करणम्,6.1#हेतुः,6.1",रस_से
6.1,(कुरुते),कुरुते,कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तनादिः},कृ3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;तनादिः},"अभिहित_कर्ता,2.1;सकर्मक",-,करता_है
7.1,कर्म,कर्म,कर्मन्{नपुं;1;एक}/कर्मन्{नपुं;2;एक},कर्मन्{नपुं;2;एक},"कर्म,6.1","विशेषणम्,10.1#विशेषणम्,4.1#विशेषणम्,3.2#विशेषणम्,2.1#कर्म,6.1#कर्ता,6.1",कर्म_को
8.1,पाकेन,पाकेन,पाक{पुं;3;एक},पाक{पुं;3;एक},"करणम्,6.1","करणम्,6.1#हेतुः,6.1",पाक_से
9.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.1","सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1",च2
10.1,अपरम्,अपरम्,अपर{पुं;2;एक}/अपर{नपुं;1;एक}/अपर{नपुं;2;एक}/अपर{सर्वनाम;पुं;2;एक}/अपर{सर्वनाम;नपुं;1;एक}/अपर{सर्वनाम;नपुं;2;एक},अपर{नपुं;2;एक},"विशेषणम्,7.1","विशेषणम्,7.1#विशेषणम्,4.1#विशेषणम्,3.2#विशेषणम्,2.1#कर्म,6.1#कर्ता,6.1",दूसरे
11.1,.,.,-,-,-,-,-
