anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,शिरः-,शिरः-,शिरः-,शिरः-,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",शिरहृदयबस्ति-
1.2,हृदय-,-,-,-,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",-
1.3,बस्ति-,-,-,-,"बहुव्रीहिः,1.4","बहुव्रीहिः,1.4",-
1.4,आदि-,आदि-,आदि-,आदि-,"इतरेतर-द्वन्द्वः,1.5","इतरेतर-द्वन्द्वः,1.5",-
1.5,मर्माणि,मर्माणि,मर्मन्{नपुं;1;बहु}/मर्मन्{नपुं;2;बहु}/मर्मन्{नपुं;8;बहु},मर्मन्{नपुं;1;बहु},"समुच्चितः,10.1","समुच्चितः,10.1",मर्म
3.1,अस्थ्नाम्,अस्थ्नाम्,अस्थि{नपुं;6;बहु},अस्थि{नपुं;6;बहु},"षष्ठीसम्बन्धः,5.1","षष्ठीसम्बन्धः,5.1",हड्डियों_के
4.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,3.1","सम्बन्धः,3.1",और
5.1,सन्धयः,सन्धयः,सन्धि{पुं;1;बहु}/सन्धि{पुं;8;बहु},सन्धि{पुं;1;बहु},"समुच्चितः,10.1","समुच्चितः,10.1",सन्धि
6.1,तत्-,तत्-निबद्धाः,तत्,तत्,"षष्ठी-तत्पुरुषः,6.2","षष्ठी-तत्पुरुषः,6.2",तत्-
6.2,निबद्धाः,--,निबद्ध{पुं;1;बहु(नि_बन्ध्1;क्त;क्र्यादिः)}/निबद्धा{स्त्री;1;बहु(नि_बन्ध्1;क्त;क्र्यादिः)}/निबद्धा{स्त्री;2;बहु(नि_बन्ध्1;क्त;क्र्यादिः)}/निबद्ध{पुं;8;बहु}/निबद्धा{स्त्री;8;बहु},निबद्ध{पुं;1;बहु(नि_बन्ध्1;क्त;क्र्यादिः)},"समुच्चितः,10.1","समुच्चितः,10.1",बन्धन_मुक्त_किये_हुए
7.1,शिरा-,शिरा-स्नायु-कण्डर-आद्याः,शिरा,शिरा,"इतरेतर-द्वन्द्वः,7.3","इतरेतर-द्वन्द्वः,7.3",शिरा-
7.2,स्नायु-,--,स्नायु,स्नायु,"इतरेतर-द्वन्द्वः,7.3","इतरेतर-द्वन्द्वः,7.3",स्नायु-
7.3,कण्डर-,--,-कण्डर,-कण्डर,"बहुव्रीहिः,7.4","बहुव्रीहिः,7.4",कण्डर-
7.4,आद्याः,--,आदि{स्त्री;5;एक}/आदि{स्त्री;6;एक}/आद्य{पुं;1;बहु}/आद्या{स्त्री;8;बहु},आदि{स्त्री;5;एक},"समुच्चितः,10.1","समुच्चितः,10.1",आदि_से
8.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,7.4","सुप्_समुच्चय_द्योतकः,8.1#समुच्चय_द्योतकः,12.1#सम्बन्धः,8.1#समुच्चय_द्योतकः,7.4",और
9.1,मध्यमः,मध्यमः,मध्यम{पुं;1;एक},मध्यम{पुं;1;एक},"विशेषणम्,10.1","विशेषणम्,10.1",मध्यम
10.1,रोगमार्गः,रोगमार्गः,-,कर्ता,"कर्ता,11.1","कर्ता,11.1",-
11.1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,10.1","अभिहित_कर्ता,10.1",है
12.1,.,.,-,-,-,-,-
