anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
1.1,श्लेष्मणः,श्लेष्मणः,श्लेष्मन्{पुं;2;बहु}/श्लेष्मन्{पुं;5;एक}/श्लेष्मन्{पुं;6;एक}/श्लेष्मन्{नपुं;5;एक}/श्लेष्मन्{नपुं;6;एक},श्लेष्मन्{पुं;6;एक},"षष्ठीसम्बन्धः,10.1","षष्ठीसम्बन्धः,10.1",कफ_का
2.1,स्नेह-,स्नेह-,स्नेह-,स्नेह-,"इतरेतर-द्वन्द्वः,2.5","इतरेतर-द्वन्द्वः,2.5",-
2.2,काठिन्य-,काठिन्य-,काठिन्य-,काठिन्य-,"इतरेतर-द्वन्द्वः,2.5","इतरेतर-द्वन्द्वः,2.5",-
2.3,कण्डू-,कण्डू-,कण्डू-,कण्डू-,"इतरेतर-द्वन्द्वः,2.5","इतरेतर-द्वन्द्वः,2.5",-
2.4,शीतत्व-,शीतत्व-,शीतत्व-,शीतत्व-,"इतरेतर-द्वन्द्वः,2.5","इतरेतर-द्वन्द्वः,2.5",-
2.5,गौरवम्,गौरवम्,गौरव{नपुं;1;एक}/गौरव{नपुं;2;एक},गौरव{नपुं;1;एक},"समुच्चितः,8.1","सुप्_समुच्चितः,8.1",गौरव
3.1,बन्ध-,बन्ध-,बन्ध-,बन्ध-,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.2,उपलेप-,उपलेप-,उपलेप-,उपलेप-,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.3,स्तैमित्य-,स्तैमित्य-,स्तैमित्य-,स्तैमित्य-,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.4,शोफ-,शोफ-,शोफ-,शोफ-,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.5,अपक्ति-,अपक्ति-,अपक्ति-,अपक्ति-,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.6,अतिनिद्रताः,अतिनिद्रताः,अतिनिद्र{तल्;स्त्री;1;बहु}/अतिनिद्र{तल्;स्त्री;2;बहु},अतिनिद्र{तल्;स्त्री;1;बहु},"समुच्चितः,8.1","कर्म,10.1#सुप्_समुच्चितः,8.1",अतिनिद्र
4.1,वर्णः,वर्णः,वर्ण{पुं;1;एक},वर्ण{पुं;1;एक},"विशेषणम्,5.1","सुप्_समुच्चितः,8.1#कर्ता_बे_वेर्ब्स्,11.1#विशेषणम्,5.1",वर्ण
5.1,श्वेतः,श्वेतः,श्वेत{पुं;1;एक},श्वेत{पुं;1;एक},"समुच्चितः,8.1","विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#सुप्_समुच्चितः,8.1#कर्ता_बे_वेर्ब्स्,11.1",सफेद
6.1,रसौ,रसौ,रस{पुं;1;द्वि}/रस{पुं;2;द्वि}/रस{पुं;8;द्वि},रस{पुं;1;द्वि},"विशेषणम्,7.2","कर्म,10.1#सुप्_समुच्चितः,8.1#विशेषणम्,7.2",रस
7.1,स्वादु-,स्वादु-लवणौ,स्वादु,स्वादु,"षष्ठी-तत्पुरुषः,7.2","षष्ठी-तत्पुरुषः,7.2",स्वादु-
7.2,लवणौ,--,लवण{पुं;1;द्वि}/लवण{पुं;2;द्वि}/लवण{पुं;8;द्वि},लवण{पुं;1;द्वि},"समुच्चितः,8.1","कर्म,10.1#सुप्_समुच्चितः,8.1",नमक
8.1,चिरकारिता,चिरकारिता,चिरकारिन्{तल्;स्त्री;1;एक},चिरकारिन्{तल्;स्त्री;1;एक},"कर्ता,11.1","विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#कर्ता_बे_वेर्ब्स्,11.1",चिरकारिन्
9.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.1","सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1",च2
10.1,(लक्षणम्),(लक्षणम्),लक्षण{नपुं;1;एक(लक्ष्1;ल्युट्;चुरादिः)}/लक्षण{नपुं;2;एक(लक्ष्1;ल्युट्;चुरादिः)}/लक्षण{नपुं;1;एक(लक्ष्2;ल्युट्;चुरादिः)}/लक्षण{नपुं;2;एक(लक्ष्2;ल्युट्;चुरादिः)},लक्षण{नपुं;1;एक(लक्ष्1;ल्युट्;चुरादिः)},"विधेय_विशेषणम्,8.1","विधेय_विशेषणम्,8.1#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#कर्ता_बे_वेर्ब्स्,11.1",लक्षण
11.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,8.1",-,होता_है
12.1,.,.,-,-,-,-,-
