anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,तम्,तम्,तद्{सर्वनाम;पुं;2;एक},तद्{सर्वनाम;पुं;2;एक},"कर्म,11.1","कर्म,11.1",उसको
2.1,चलः,चलः,चल{पुं;1;एक},चल{पुं;1;एक},"कर्ता,11.1","कर्ता,11.1",चल
3.1,उत्साह-,उत्साह-उच्छ्वास-निश्वास-चेष्टा-वेग-प्रवर्तनैः,उत्साह,उत्साह,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",उत्साह-
3.2,उच्छ्वास-,--,उच्छ्वास(उत्_श्वस्1;घञ्;अदादिः),उच्छ्वास(उत्_श्वस्1;घञ्;अदादिः),"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.3,निश्वास-,--,निश्वास(नि_श्वस्1;घञ्;अदादिः),निश्वास(नि_श्वस्1;घञ्;अदादिः),"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",-
3.4,चेष्टा-,--,चेष्टा,चेष्टा,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",चेष्टा-
3.5,वेग-,--,वेग,वेग,"इतरेतर-द्वन्द्वः,3.6","इतरेतर-द्वन्द्वः,3.6",वेग-
3.6,प्रवर्तनैः,--,प्रवर्तन{नपुं;3;बहु}/प्रवर्तन{पुं;3;बहु},प्रवर्तन{नपुं;3;बहु},"समुच्चितः,9.1","सुप्_समुच्चितः,9.1#सुप्_समुच्चितः,5.1#हेतुः,12.2#हेतुः,11.1",प्रवर्तनों_से
4.1,सम्यक्,सम्यक्,सम्यक्,सम्यक्,"क्रियाविशेषणम्,5.1","क्रियाविशेषणम्,5.1",सम्यक्
5.1,गत्या,गत्या,गति{स्त्री;3;एक(गम्;क्तिन्)}/गति{स्त्री;3;एक},गति{स्त्री;3;एक(गम्;क्तिन्)},"समुच्चितः,9.1","सुप्_समुच्चितः,9.1#कर्ता,12.2#हेतुः,12.2#हेतुः,11.1#हेतुः,4.3",गति_से
6.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,5.1","सुप्_समुच्चय_द्योतकः,5.1#सम्बन्धः,5.1",और
7.1,धातूनाम्,धातूनाम्,धातु{पुं;6;बहु},धातु{पुं;6;बहु},"षष्ठीसम्बन्धः,5.1","षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.6#षष्ठीसम्बन्धः,3.1",धातुओं_के
8.1,अक्षाणाम्,अक्षाणाम्,अक्ष{पुं;6;बहु},अक्ष{पुं;6;बहु},"षष्ठीसम्बन्धः,9.1","षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.6#षष्ठीसम्बन्धः,3.1",धुरों_के
9.1,पाटवेन,पाटवेन,पाटव{पुं;3;एक}/पाटव{नपुं;3;एक},पाटव{पुं;3;एक},"हेतुः,11.1","कर्ता,12.2#हेतुः,12.2#हेतुः,11.1#हेतुः,4.3",पाटव_से
10.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,9.1","सुप्_समुच्चय_द्योतकः,9.1#सम्बन्धः,9.1",और
11.1,अनुगृह्णाति,अनुगृह्णाति,अनु_ग्रह्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;क्र्यादिः},अनु_ग्रह्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;क्र्यादिः},-,-,कृपा_करता_है
12.1,अ-,अ-विकृतः,अ,अ,"नञ्-तत्पुरुषः,12.2","नञ्-तत्पुरुषः,12.2",अ-
12.2,विकृतः,--,विकृत{पुं;1;एक(वि_कृ3;क्त;तनादिः)}/विकृत{पुं;1;एक(वि_कृ2;क्त;स्वादिः)},विकृत{पुं;1;एक(वि_कृ3;क्त;तनादिः)},"विशेषणम्,2.1","विशेषणम्,2.1#कर्ता,11.1",बीभत्स
13.1,.,.,-,-,-,-,-
