anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,प्रतिज्ञातः,प्रतिज्ञातः,प्रतिज्ञा{अव्य;तसिल्}/प्रतिज्ञात{पुं;1;एक}/प्रतिज्ञात{पुं;1;एक(प्रति_ज्ञा1;क्त;क्रयादिः)},प्रतिज्ञात{पुं;1;एक(प्रति_ज्ञा1;क्त;क्रयादिः)},-,-
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.1","सुप्_समुच्चय_द्योतकः,1.1#सम्बन्धः,1.1"
3.1,रामेण,रामेण,राम{पुं;3;एक},राम{पुं;3;एक},"कर्ता,1.1","कर्ता,1.1#हेतुः,1.1"
4.1,वधः,वधः,वध{पुं;1;एक(हन्1;कप्;अदादिः)},वध{पुं;1;एक(हन्1;कप्;अदादिः)},"कर्म,1.1","सुप्_समुच्चितः,1.1#कर्म,1.1"
5.1,संयति,संयति,संयत्{स्त्री;7;एक},संयत्{स्त्री;7;एक},"अधिकरणम्,4.1","अधिकरणम्,1.1#अधिकरणम्,4.1"
6.1,रक्षसाम्,रक्षसाम्,रक्षस्{नपुं;6;बहु},रक्षस्{नपुं;6;बहु},"कर्म,4.1","षष्ठीसम्बन्धः,10.3#षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#कर्म,4.1"
7.1,(सन्निधौ),सन्निधौ,सन्निधि{पुं;7;एक},सन्निधि{पुं;7;एक},"अधिकरणम्,1.1","अधिकरणम्,1.1"
8.1,ऋषीणाम्,ऋषीणाम्,ऋषि{पुं;6;बहु},ऋषि{पुं;6;बहु},"षष्ठीसम्बन्धः,7.1","षष्ठीसम्बन्धः,10.3#षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1"
9.1,अग्नि-,अग्नि-कल्पानां,अग्नि,अग्नि,"षष्ठी-बहुव्रीहिः,9.2","षष्ठी-बहुव्रीहिः,9.2"
9.2,कल्पानाम्,--,कल्प{पुं;6;बहु}/कल्प{नपुं;6;बहु}/कल्पा{स्त्री;6;बहु},कल्प{पुं;6;बहु},"विशेषणम्,8.1","षष्ठीसम्बन्धः,10.3#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#विशेषणम्,6.1#विशेषणम्,10.3#विशेषणम्,8.1"
10.1,दण्डक-,दण्डक-अरण्य-वासिनाम्,दण्डक,दण्डक,"कर्मधारय,10.2","कर्मधारय,10.2"
10.2,अरण्य-,--,अरण्य,अरण्य,"षष्ठी-तत्पुरुषः,10.3","षष्ठी-तत्पुरुषः,10.3"
10.3,वासिनाम्,--,वासिन्{पुं;6;बहु},वासिन्{पुं;6;बहु},"विशेषणम्,8.1","विशेषणम्,9.2#विशेषणम्,8.1#षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,1.1"
11.1,.,.,-,-,-,-
