anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,अगस्त्य-,अगस्त्य-वचनात्,अगस्त्य,अगस्त्य,"षष्ठी-तत्पुरुषः,1.2","समासः,1.2#षष्ठी-तत्पुरुषः,1.2"
1.2,वचनात्,--,वचन{नपुं;5;एक},वचन{नपुं;5;एक},"हेतुः5,4.1","हेतुः5,4.1#अपादानम्,4.1"
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.2","सम्बन्धः,1.2"
3.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,2.1","सम्बन्धः,2.1"
4.1,जग्राह,जग्राह,ग्रह्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;क्र्यादिः}/ग्रह्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;क्र्यादिः},ग्रह्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;क्र्यादिः},"अभिहित_कर्ता,10.1;सकर्मक",-
5.1,ऐन्द्रम्,ऐन्द्रं,ऐन्द्र{पुं;2;एक}/ऐन्द्र{नपुं;1;एक}/ऐन्द्र{नपुं;2;एक},ऐन्द्र{नपुं;2;एक},"विशेषणम्,6.2","विशेषणम्,6.2#सुप्_समुच्चितः,7.1#कर्म,4.1#सुप्_समुच्चितः,10.1#कर्ता,4.1#विशेषणम्,7.1"
6.1,शर-,शर-आसनम्,शर,शर,"षष्ठी-तत्पुरुषः,6.2","समासः,6.2#षष्ठी-तत्पुरुषः,6.2"
6.2,आसनम्,--,आसन{नपुं;1;एक}/आसन{नपुं;2;एक}/आसन{पुं;2;एक},आसन{नपुं;2;एक},"कर्म,4.1","विशेषणम्,7.1#विशेषणम्,5.1#सुप्_समुच्चितः,7.1#कर्म,4.1#सुप्_समुच्चितः,10.1#कर्ता,4.1"
7.1,खड्गम्,खड्गं,खड्ग{पुं;2;एक},खड्ग{पुं;2;एक},"समुच्चितः,6.2","कर्म,4.1#समुच्चितः,6.2"
8.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,7.1","सुप्_समुच्चय_द्योतकः,7.1#सम्बन्धः,7.1"
9.1,परम-,परम-प्रीतः,परम,परम,"कर्मधारयः,9.2","समासः,9.2#कर्मधारयः,9.2"
9.2,प्रीतः,--,प्रीत{पुं;1;एक},प्रीत{पुं;1;एक},"कर्ता,4.1","सुप्_समुच्चितः,10.1#कर्ता,4.1"
10.1,तूणी,तूणी,तूणी{स्त्री;1;एक},तूणी{पुं;2;द्वि},"समुच्चितः,6.2","सुप्_समुच्चितः,6.2"
11.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,10.1","सुप्_समुच्चय_द्योतकः,10.1#सम्बन्धः,10.1"
12.1,अक्षय-,अक्षय-सायकौ,अक्षय,अक्षय,"षष्ठी-बहुव्रीहिः,12.2","समासः,12.2#षष्ठी-बहुव्रीहिः,12.2"
12.2,सायकौ,--,सायक{पुं;1;द्वि}/सायक{पुं;2;द्वि},सायक{पुं;2;द्वि},"विशेषणम्,10.1","विशेषणम्,10.1"
13.1,.,.,-,-,-,-
