anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,पादुके,पादुके,पादुका{स्त्री;8;एक}/पादुक{पुं;7;एक}/पादुक{नपुं;7;एक},पादुक{स्त्री;2;द्वि},"कर्म,6.1","अधिकरणम्,11.1#अधिकरणम्,9.1#अधिकरणम्,6.1#अधिकरणम्,3.1#सम्बोध्यः,11.1#सम्बोध्यः,9.1#सम्बोध्यः,3.1#कर्म,6.1"
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1"
3.1,अस्य,अस्य,इदम्{सर्वनाम;पुं;6;एक}/इदम्{सर्वनाम;नपुं;6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;दिवादिः},इदम्{सर्वनाम;पुं;6;एक},"षष्ठीसम्बन्धः,4.1","षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,1.1"
4.1,राज्याय,राज्याय,राज्य{नपुं;4;एक},राज्य{नपुं;4;एक},"प्रयोजनम्,6.1","प्रयोजनम्1,11.1#प्रयोजनम्1,9.1#प्रयोजनम्1,6.1#प्रयोजनम्1,3.1"
5.1,न्यासम्,न्यासं,न्यास{पुं;2;एक},न्यास{पुं;2;एक},"कर्म,6.1","विशेषणम्,11.1#कर्म,11.1#कर्म,6.1#कर्म,3.1"
6.1,दत्त्वा,दत्त्वा,दा1{अव्य;क्त्वा;भ्वादिः},दा1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,9.1","पूर्वकालः,11.1#पूर्वकालः,9.1#पूर्वकालः,3.1"
7.1,पुनः,पुनः,पुनः{अव्य},पुनः{अव्य},"वीप्सा,8.1","वीप्सा,8.1#क्रियाविशेषणम्,11.1#क्रियाविशेषणम्,9.1#क्रियाविशेषणम्,6.1#क्रियाविशेषणम्,3.1"
8.1,पुनः,पुनः,पुनः{अव्य},पुनः{अव्य},"क्रियाविशेषणम्,9.1","क्रियाविशेषणम्,11.1#क्रियाविशेषणम्,9.1#क्रियाविशेषणम्,6.1#क्रियाविशेषणम्,3.1"
9.1,निवर्तयामास,निवर्तयामास,नि_वृत्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},नि_वृत्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,12.3;सकर्मक",-
10.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सम्बन्धः,9.1","सम्बन्धः,9.1#कार्य_द्योतकः,9.1#अपादानम्,9.1"
11.1,भरतम्,भरतं,भृ1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;भ्वादिः}/भरत{पुं;2;एक},भरत{पुं;2;एक},"कर्म,9.1","कर्म,6.1#कर्म,9.1"
12.1,भरत-,भरत-अग्रजः,भरत,भरत,"षष्ठी-बहुव्रीहिः,12.2","षष्ठी-बहुव्रीहिः,12.2"
12.2,अग्र-,--,अग्र-,अग्र-,"उपपद-तत्पुरुषः,12.3","उपपद-तत्पुरुषः,12.3"
12.3,जः,--,ज{पुं;1;एक}/ज{पुं{1;एक},ज{पुं;1;एक},"कर्ता,9.1","कर्ता,9.1"
13.1,.,.,-,-,-,-
