anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,निवेदयित्वा,निवेदयित्वा,नि_विद्1{अव्य;क्त्वा;अदादिः},नि_विद्1{अव्य;क्त्वा;अदादिः},"समुच्चितः,6.1","सुप्_समुच्चितः,6.1#सुप्_समुच्चितः,4.1#पूर्वकालः,9.1"
2.1,अभिज्ञानम्,अभि_ज्ञनम्,अभि_ज्ञान{नपुं;1;एक}/अभि_ज्ञान{नपुं;2;एक}/अभि_ज्ञान{पुं;2;एक},अभि_ज्ञान{नपुं;2;एक},"कर्म,1.1","विशेषणम्,10.1#कर्म,9.1#कर्म,6.1#कर्म,4.1#कर्म,1.1#प्रयोजककर्ता,9.1"
3.1,प्रवृत्तिम्,प्रवृत्तिं,प्रवृत्ति{स्त्री;2;एक},प्रवृत्ति{स्त्री;2;एक},"कर्म,4.1","विशेषणम्,8.1#कर्म,9.1#कर्म,6.1#कर्म,4.1#कर्म,1.1"
4.1,विनिवेद्य,विनिवेद्य,वि_नि_विद्1{अव्य;ल्यप्;अदादिः},वि_नि_विद्1{अव्य;ल्यप्;अदादिः},"समुच्चितः,6.1","सुप्_समुच्चितः,6.1#पूर्वकालः,9.1"
5.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,4.1","सुप्_समुच्चय_द्योतकः,4.1#सम्बन्धः,4.1"
6.1,समाश्वास्य,समाश्वास्य,सम्_आङ्_श्वस्1{अव्य;णिजन्त;ल्यप्;अदादिः},सम्_आङ्_श्वस्1{अव्य;णिजन्त;ल्यप्;अदादिः},"पूर्वकालः,9.1","सुप्_समुच्चितः,4.1#पूर्वकालः,9.1"
7.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,6.1","सुप्_समुच्चय_द्योतकः,6.1#सम्बन्धः,6.1"
8.1,वैदेहीम्,वैदेहीं,वैदेही{स्त्री;2;एक},वैदेही{स्त्री;2;एक},"कर्म,6.1","कर्म,9.1#कर्म,6.1#कर्म,4.1#कर्म,1.1"
9.1,मर्दयामास,मर्दयामास,मृद्1{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;क्र्यादिः}/मृद्1{णिजन्त;कर्तरि;लिट्;उ;एक;आत्मनेपदी;क्र्यादिः}/मृद्1{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;क्र्यादिः}/मृद्1{णिजन्त;कर्तरि;लिट्;प्र;एक;आत्मनेपदी;क्र्यादिः}/मृद्1{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;क्र्यादिः}/मृद्1{णिजन्त;कर्तरि;लिट्;म;बहु;आत्मनेपदी;क्र्यादिः},मृद्1{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;क्र्यादिः},-,-
10.1,तोरणम्,तोरणम्,तोरण{पुं;2;एक},तोरण{पुं;2;एक},"कर्म,9.1","कर्म,9.1#कर्म,6.1#कर्म,4.1#कर्म,1.1"
11.1,.,.,-,-,-,-
