anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,स्निग्धः,स्निग्धः,स्निग्ध{पुं;1;एक}/स्निग्ध{पुं;1;एक(ष्निह्1;क्त;दिवादिः)},स्निग्ध{पुं;1;एक},"समुच्चितः,7.1","विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.1#विशेषणम्,2.1#सुप्_समुच्चितः,7.1",स्नेही
2.1,शीतः,शीतः,शीत{पुं;1;एक},शीत{पुं;1;एक},"समुच्चितः,7.1","विधेय_विशेषणम्,1.1#विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.1#सुप्_समुच्चितः,7.1#कर्ता_बे_वेर्ब्स्,9.1",शीत
3.1,गुरुः,गुरुः,गुरु{पुं;1;एक},गुरु{पुं;1;एक},"समुच्चितः,7.1","विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,5.1#विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,9.1, #समुच्चितः,7.1",गुरु
4.1,मन्दः,मन्दः,मन्द{पुं;1;एक},मन्द{पुं;1;एक},"समुच्चितः,7.1","सुप्_समुच्चितः,7.1#कर्ता_बे_वेर्ब्स्,9.1",मन्द
5.1,श्लक्ष्णः,श्लक्ष्णः,श्लक्ष्ण{पुं;1;एक},श्लक्ष्ण{पुं;1;एक},"समुच्चितः,7.1","सुप्_समुच्चितः,7.1#कर्ता_बे_वेर्ब्स्,9.1",कोमल
6.1,मृत्स्नः,मृत्स्नः,मृत्स्न{पुं;1;एक},मृत्स्न{पुं;1;एक},"समुच्चितः,7.1","सुप्_समुच्चितः,7.1#कर्ता_बे_वेर्ब्स्,9.1",-
7.1,स्थिरः,स्थिरः,स्थिर{पुं;1;एक},स्थिर{पुं;1;एक},"विधेय_विशेषणम्,10.1","विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#विशेषणम्,10.1#कर्ता_बे_वेर्ब्स्,9.1#विधेय_विशेषणम्,10.1",स्थिर
8.1,(च),(च),च{अव्य},च{अव्य},"समुच्चय_द्योतकः,7.1","सुप्_समुच्चय_द्योतकः,7.1#सम्बन्धः,7.1",च2
9.1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,10.1",-,है
10.1,कफः,कफः,कफ{पुं;1;एक},कफ{पुं;1;एक},"कर्ता,9.1","कर्ता_बे_वेर्ब्स्,9.1",कफ
11.1,.,.,-,-,-,-,-
