anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,वात-,वात-पित्त-आमयी,वात(वा1;क्त;अदादिः),वात(वा1;क्त;अदादिः),"इतरेतर-द्वन्द्वः,1.2","इतरेतर-द्वन्द्वः,1.2",-
1.2,पित्त-,--,पित्त,पित्त,"षष्ठी-तत्पुरुषः,1.3","षष्ठी-तत्पुरुषः,1.3",पित्त-
1.3,आमयी,--,आमयिन्{पुं;1;एक},आमयिन्{पुं;1;एक},"समुच्चितः,4.1","सुप्_समुच्चितः,4.1#कर्ता,7.1",मयी
2.1,बालः,बालः,बाल{पुं;1;एक},बाल{पुं;1;एक},"समुच्चितः,4.1","विशेषणम्,4.1#विशेषणम्,3.1#सुप्_समुच्चितः,4.1#कर्ता,7.1",बालक
3.1,वृद्धः,वृद्धः,वृद्ध{पुं;1;एक},वृद्ध{पुं;1;एक},"समुच्चितः,4.1","विशेषणम्,4.1#विशेषणम्,2.1#सुप्_समुच्चितः,4.1#कर्ता,7.1",वृद्ध
4.1,अजीर्णः,अजीर्णः,अजीर्ण{पुं;1;एक},अजीर्ण{पुं;1;एक},"कर्ता,7.1","कर्ता,7.1",अजीर्ण
5.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,4.1","सुप्_समुच्चय_द्योतकः,4.1#सम्बन्धः,4.1",और
6.1,तम्,तम्,तद्{सर्वनाम;पुं;2;एक},तद्{सर्वनाम;पुं;2;एक},"कर्म,7.1","कर्म,7.1#कर्म,1.1",वह
7.1,त्यजेत्,त्यजेत्,त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,4.1;सकर्मक",-,छोडे
8.1,.,.,-,-,-,-,-
