anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,यः,यः,यद्{सर्वनाम;पुं;1;एक},यद्{सर्वनाम;पुं;1;एक},"कर्ता,7.1","कर्ता,7.1",जो
2.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1",तो
3.1,सर्वाणि,सर्वाणि,सर्व{सर्वनाम;नपुं;1;बहु}/सर्व{सर्वनाम;नपुं;2;बहु}/सर्वाणी{स्त्री;8;एक},सर्व{सर्वनाम;नपुं;2;बहु},"विशेषणम्,4.1","विशेषणम्,4.1#कर्म,7.1",सब
4.1,भूतानि,भूतानि,भूत{नपुं;1;बहु}/भूत{नपुं;2;बहु}/भूत{नपुं;1;बहु(भू1;क्त;भ्वादिः)}/भूत{नपुं;2;बहु(भू1;क्त;भ्वादिः)},भूत{नपुं;2;बहु(भू1;क्त;भ्वादिः)},"कर्म,7.1","विशेषणम्,3.1#कर्म,7.1",प्राणी
5.1,आत्मन्(आत्मनि),आत्मनि,आत्मन्{पुं;7;एक},आत्मन्{पुं;7;एक},"विषयाधिकरणम्,7.1","विशेषणम्,7.1#अधिकरणम्,7.1#अधिकरणम्,4.1#विषयाधिकरणम्,7.1",आत्मा_में
6.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1",ही
7.1,अनुपश्यति,अनुपश्यति,अनु_दृश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/अनुपश्यत्{पुं;7;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)}/अनुपश्यत्{नपुं;7;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)},अनु_दृश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,"भावलक्षणसप्तमी_समानकालः,4.1",देखता_हुआ
8.1,सर्व-,सर्व-भूतेषु,सर्व,सर्व,"कर्मधारयः,8.2","कर्मधारयः,8.2",-
8.2,भूतेषु,-,भूत{नपु;7;बहु},भूत{नपु;7;बहु},"विषयाधिकरणम्,14.1","विषयाधिकरणम्,14.1",-
9.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,14.1","सम्बन्धः,14.1",और
10.1,आत्मानम्,आत्मानम्,आत्मन्{पुं;2;एक},आत्मन्{पुं;2;एक},"कर्म,14.1","कर्म,14.1",आत्मा_को
11.1,ततः,ततः,ततः{तसिल्;अव्य},ततः{तसिल्;अव्य},"सम्बन्धः,13.1","सम्बन्धः,13.1#अपादानम्,7.1#हेतुः5,13.1",वहाँ_से
12.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,13.1","प्रतिषेधः,13.1",नहीं
13.1,विजुगुप्सते,विजुगुप्सते,वि_गुप्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः},वि_गुप्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः},अभिहित_कर्ता,-,-
14.1,(अनुपश्यति),अनुपश्यति,अनु_दृश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/अनुपश्यत्{पुं;7;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)}/अनुपश्यत्{नपुं;7;एक(अनु_दृश्1;शतृ_लट्;भ्वादिः)},अनु_दृश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,-,देखता_हुआ
15.1,(यः),यः,यद्{सर्वनाम;पुं;1;एक},यद्{सर्वनाम;पुं;1;एक},"कर्ता,14.1","कर्ता,14.1",जो
16.1,(सः),-,तद्{सर्व;पुं;1;एक},तद्{सर्व;पुं;1;एक},"कर्ता,13.1","कर्ता,13.1",-
