anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
8.1,तान्,तान्,तद्{सर्वनाम;पुं;2;बहु},तद्{सर्वनाम;पुं;2;बहु},"कर्म,11.1","कर्म,11.1#कर्म,10.1",वे
9.1,ते,ते,तद्{सर्वनाम;पुं;1;बहु}/तद्{सर्वनाम;नपुं;1;द्वि}/तद्{सर्वनाम;नपुं;2;द्वि}/तद्{सर्वनाम;स्त्री;1;द्वि}/तद्{सर्वनाम;स्त्री;2;द्वि}/युष्मद्{सर्वनाम;6;एक}/युष्मद्{सर्वनाम;4;एक},तद्{सर्वनाम;पुं;1;बहु},"कर्ता,11.1;नित्य_सम्बन्धः,12.1","प्रयोजनम्1,11.1#प्रयोजनम्1,10.1#कर्म,11.1#कर्म,9.1#कर्ता,10.1",वे
10.1,प्रेत्य,प्रेत्य,प्र_इ1{अव्य;ल्यप्;अदादिः},प्र_इ1{अव्य;ल्यप्;अदादिः},"पूर्वकालः,11.1","पूर्वकालः,11.1#क्रियाविशेषणम्,10.1",मर_कर
11.1,अभिगच्छन्ति,अभिगच्छन्ति,अभि_गम्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः}/अभिगच्छत्{नपुं;1;बहु(अभि_गम्1;शतृ_लट्;भ्वादिः)}/अभिगच्छत्{नपुं;2;बहु(अभि_गम्1;शतृ_लट्;भ्वादिः)},अभि_गम्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,9.1;सकर्मक","कर्म,9.1",निकट_जाते_हैं
12.1,ये,ये,यद्{सर्वनाम;पुं;1;बहु}/यद्{सर्वनाम;नपुं;1;द्वि}/यद्{सर्वनाम;नपुं;2;द्वि}/यद्{सर्वनाम;स्त्री;1;द्वि}/यद्{सर्वनाम;स्त्री;2;द्वि},यद्{सर्वनाम;पुं;1;बहु},"विशेषणम्,16.1","विशेषणम्,16.1#कर्ता_बे_वेर्ब्स्,16.1",जो
13.1,के,के,किम्{सर्वनाम;पुं;1;बहु}/किम्{सर्वनाम;नपुं;1;द्वि}/किम्{सर्वनाम;नपुं;2;द्वि}/किम्{सर्वनाम;स्त्री;1;द्वि}/किम्{सर्वनाम;स्त्री;2;द्वि},किम्{सर्वनाम;पुं;1;बहु},"विशेषणम्,16.1","विशेषणम्,12.1#कर्ता,17.1#विधेय_विशेषणम्,17.1#विशेषणम्,12.1#कर्ता_बे_वेर्ब्स्,17.1",कौन
14.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,13.1","सम्बन्धः,13.1",च1
15.1,आत्म-,आत्म-हनः,आत्मन्,आत्मन्,"उपपद-तत्पुरुषः,15.2","समासः,15.2",आत्म-
15.2,हनः,हनः,हन{पुं;1;बहु},हन{पुं;1;बहु},"विशेषणम्,16.1","विशेषणम्,16.1",हत्या
16.1,जनाः,जनाः,जन{पुं;1;बहु}/जन{पुं;8;बहु},जन{पुं;1;बहु},"कर्ता,17.1","कर्ता_बे_वेर्ब्स्,17.1",जन
17.1,[सन्ति],[सन्ति],अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}/सत्{नपुं;8;बहु},अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः},"अभिहित_कर्ता,16.1",-,हैं
