anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,तेन,तेन,तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः},तद्{सर्वनाम;पुं;3;एक},"कर्ता,6.1","विशेषणम्,4.1#हेतुः,4.1#कर्ता,61#कर्ता,6.1"
2.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,4.1","देशाधिकरणम्,1.1#देशाधिकरणम्,6.1#देशाधिकरणम्,4.1"
3.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,2.1","सम्बन्धः,2.1"
4.1,वसता,वसता,वसत्{पुं;3;एक(वस्1;शतृ_लट्;भ्वादिः)}/वसत्{नपुं;3;एक(वस्1;शतृ_लट्;भ्वादिः)},वसत्{पुं;3;एक(वस्1;शतृ_लट्;भ्वादिः)},"विशेषणम्,1.1","विशेषणम्,1.1#हेतुः,1.1"
5.1,जन-,जन-स्थान-निवासिनी,जन,जन,"षष्ठी-तत्पुरुषः,5.2","षष्ठी-तत्पुरुषः,5.2"
5.2,स्थान-,--,स्थान,स्थान,"उपपद-तत्पुरुषः,5.3","उपपद-तत्पुरुषः,5.3"
5.3,निवासिनी,--,निवासिनी{स्त्री;1;एक},निवासिनी{स्त्री;1;एक},"विशेषणम्,7.1","विशेषणम्,9.2#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.1"
6.1,विरूपिता,विरूपिता,विरूपिता{स्त्री;1;एक(वि_रूप्;क्त;चुरादिः)},विरूपिता{स्त्री;1;एक(वि_रूप्;क्त;चुरादिः)},-,"विशेषणम्,9.2#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,5.3"
7.1,शूर्पणखा,शूर्पणखा,शूर्पणखा{स्त्री;1;एक},शूर्पणखा{स्त्री;1;एक},"कर्म,6.1","कर्म,6.1"
8.1,राक्षसी,राक्षसी,राक्षसी{स्त्री;1;एक},राक्षसी{स्त्री;1;एक},"विशेषणम्,7.1","विशेषणम्,9.2#विशेषणम्,6.1#विशेषणम्,5.3#अभेदः,7.1#विशेषणम्,7.1"
9.1,काम-,काम-रूपिणी,काम,काम,"कर्मधारय,9.2","कर्मधारय,9.2"
9.2,रूपिणी,--,रूपिन्{नपुं;1;द्वि}/रूपिन्{नपुं;2;द्वि}/रूपिन्{नपुं;8;द्वि}/रूपिणी{स्त्री;1;एक},रूपिणी{स्त्री;1;एक},"विशेषणम्,7.1","विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.3"
10.1,.,.,-,-,-,-
