anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,(सः),(सः),तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"कर्ता,5.1","विशेषणम्,2.4#सुप्_समुच्चितः,3.1#कर्ता_बे_वेर्ब्स्,5.1"
2.1,सर्व-,सर्व-शास्त्र-अर्थ-तत्त्वज्ञः,सर्व,सर्व,"कर्मधारयः,2.2","कर्मधारयः,2.2"
2.2,शास्त्र-,--,शास्त्र,शास्त्र,"षष्ठी-तत्पुरुषः,2.3","षष्ठी-तत्पुरुषः,2.3"
2.3,अर्थ-,--,अर्थ,अर्थ,"षष्ठी-तत्पुरुषः,2.4","षष्ठी-तत्पुरुषः,2.4"
2.4,तत्त्व-,--,तत्त्व{पुं;1;एक}/तत्त्व,तत्त्व,"उपपद-तत्पुरुषः,2.5","उपपद-तत्पुरुषः,2.5"
2.5,ज्ञः,--,ज्ञ{पुं;1;एक},ज्ञ{पुं;1;एक},"समुच्चितः,3.1","विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,3.1#कर्ता_बे_वेर्ब्स्,5.1"
3.1,स्मृतिमान्,स्मृतिमान्,स्मृति{मतुप्;पुं;1;एक},स्मृति{मतुप्;पुं;1;एक},"विधेय_विशेषणम्,1.1","विधेय_विशेषणम्,2.4#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,5.1"
4.1,(च),(च),च{अव्य},च{अव्य},"समुच्चय_द्योतकः,3.1","सुप्_समुच्चय_द्योतकः,3.1#सम्बन्धः,3.1"
5.1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,1.1",-
6.1,.,.,-,-,-,-
