anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,भरद्वाज-,भरद्वाज-आश्रमं,भरद्वाज,भरद्वाज,"षष्ठी-तत्पुरुषः,1.2","षष्ठी-तत्पुरुषः,1.2"
1.2,आश्रमम्,--,आश्रम{पुं;2;एक}/आश्रम{नपुं;1;एक}/आश्रम{नपुं;2;एक},आश्रम{पुं;2;एक},"कर्म,2.1","कर्म,9.1#कर्म,2.1#कर्ता,9.1#विशेषणम्,8.1"
2.1,गत्वा,गत्वा,गम्1{अव्य;क्त्वा;भ्वादिः},गम्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,9.1","पूर्वकालः,9.1"
3.1,आरामः,आरामः,आराम{पुं;1;एक}/आराम{पुं;1;एक(आङ्_रम्1;घञ्;भ्वादिः)},आराम{पुं;1;एक},"विशेषणम्,7.1","विशेषणम्,7.1#विशेषणम्,4.2#विशेषणम्,1.2#कर्ता,9.1"
4.1,सत्य-,सत्य-पराक्रमः,सत्य,सत्य,"षष्ठी-बहुव्रीहिः,4.2","षष्ठी-बहुव्रीहिः,4.2"
4.2,पराक्रमः,--,पराक्रम{पुं;1;एक},पराक्रम{पुं;1;एक},"विशेषणम्,7.1","विशेषणम्,7.1#विशेषणम्,3.1#कर्ता,9.1"
5.1,भरतस्य,भरतस्य,भरत{पुं;6;एक},भरत{पुं;6;एक},"षष्ठीसम्बन्धः,6.1","उप_अपेक्षा,6.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,3.1"
6.1,अन्तिके,अन्तिके,अन्तिका{स्त्री;8;एक}/अन्तिक{पुं;7;एक},अन्तिक{पुं;7;एक},"अधिकरणम्,9.1","देशाधिकरणम्_उप,9.1#अधिकरणम्,9.1#अधिकरणम्,3.1#अधिकरणम्,2.1#सम्बोध्यः,9.1"
7.1,रामः,रामः,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,9.1;कर्ता,2.1","कर्ता,9.1"
8.1,हनूमन्तम्,हनूमन्तं,हनूमत्{पुं;2;एक},हनूमत्{पुं;2;एक},"कर्म,9.1","कर्म,9.1#कर्म,2.1"
9.1,व्यसर्जयत्,व्यसर्जयत्,वि_सृ2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;तुदादिः},वि_सृ2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;तुदादिः},"अभिहित_कर्ता,7.1;सकर्मक",-
10.1,.,.,-,-,-,-
