anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,वने,वने,वन{नपुं;1;द्वि}/वन{नपुं;2;द्वि}/वन{नपुं;8;द्वि}/वनि{पुं;8;एक}/वन{नपुं;7;एक},वन{नपुं;7;एक},"अधिकरणम्,3.1","अधिकरणम्,7.1#अधिकरणम्,6.1#अधिकरणम्,3.1#कर्म,7.1#कर्म,6.1"
2.1,तस्मिन्,तस्मिन्,तद्{सर्वनाम;पुं;7;एक}/तद्{सर्वनाम;नपुं;7;एक},तद्{सर्वनाम;पुं;7;एक},"विशेषणम्,1.1","विशेषणम्,1.1#अधिकरणम्,7.1#अधिकरणम्,6.1#अधिकरणम्,3.1"
3.1,निवसता,निवसता,निवसत्{पुं;3;एक(नि_वस्2;शतृ_लट्;अदादिः)}/निवसत्{नपुं;3;एक(नि_वस्2;शतृ_लट्;अदादिः)}/निवसत्{पुं;3;एक(नि_वस्1;शतृ_लट्;भ्वादिः)}/निवसत्{नपुं;3;एक(नि_वस्1;शतृ_लट्;भ्वादिः)},निवसत्{पुं;3;एक(नि_वस्2;शतृ_लट्;अदादिः)},"कर्ता,6.1","कर्ता,6.1#करणम्,6.1#हेतुः,7.1#हेतुः,6.1"
4.1,जन-,जन-स्थान-निवासिनाम्,जन,जन,"षष्ठी-तत्पुरुषः,4.2","षष्ठी-तत्पुरुषः,4.2"
4.2,स्थान-,--,स्थान,स्थान,"उपपद-तत्पुरुषः,4.3","उपपद-तत्पुरुषः,4.3"
4.3,निवासिनाम्,--,निवासिन्{पुं;6;बहु}/निवासिन्{नपुं;6;बहु},निवासिन्{नपुं;6;बहु},"विशेषणम्,5.1","षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,1.1#विशेषणम्,5.1"
5.1,रक्षसाम्,रक्षसां,रक्षस्{नपुं;6;बहु},रक्षस्{नपुं;6;बहु},"षष्ठीसम्बन्धः,8.1","षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,4.3#षष्ठीसम्बन्धः,1.1"
6.1,निहतानि,निहतानि,निहत{नपुं;1;बहु(नि_हन्1;क्त;अदादिः)}/निहत{नपुं;2;बहु(नि_हन्1;क्त;अदादिः)},निहत{नपुं;1;बहु(नि_हन्1;क्त;अदादिः)},"कर्ता,7.1","विशेषणम्,9.1#विशेषणम्,8.1#कर्म,7.1#कर्ता_बे_वेर्ब्स्,7.1#कर्ता,7.1"
7.1,आसन्,आसन्,अस्1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भ्वादिः}/अस्2{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;अदादिः}/आसन्{नपुं;8;एक},अस्1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;भ्वादिः},-,-
8.1,सहस्राणि,सहस्राणि,सहस्र{संख्या;नपुं;1;बहु}/सहस्र{संख्या;नपुं;2;बहु},सहस्र{संख्या;नपुं;1;बहु},"कर्म,6.1","विशेषणम्,9.1#विशेषणम्,6.1#कर्म,7.1#कर्म,6.1#कर्ता_बे_वेर्ब्स्,7.1#कर्ता,7.1"
9.1,चतुर्दश,चतुर्दश,चतुर्दश{पुं;8;एक}/चतुर्दश{नपुं;8;एक}/चतुर्दशन्{संख्येयम्;1;बहु}/चतुर्दशन्{संख्येयम्;2;बहु}/चतुर्दशन्{संख्या;नपुं;1;बहु}/चतुर्दशन्{संख्या;नपुं;2;बहु},चतुर्दशन्{संख्या;नपुं;1;बहु},"विशेषणम्,8.1","विशेषणम्,8.1#विशेषणम्,6.1#कर्म,7.1#कर्म,6.1#कर्ता_बे_वेर्ब्स्,7.1#कर्ता,7.1#विशेषणम्,7.1#विशेषणम्,1.1"
10.1,.,.,-,-,-,-
