anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,अन्-,अन्-आदृत्य,अन्,अन्,"नञ्-तत्पुरुषः,1.2","नञ्-तत्पुरुषः,1.2"
1.2,आदृत्य,--,आ-दृ1{अव्य;ल्यप्;तुदादिः},आ-दृ1{अव्य;ल्यप्;तुदादिः},"पूर्वकालः,7.1","पूर्वकालः,7.1"
2.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,1.2","सम्बन्धः,1.2"
3.1,तत्,तत्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;2;एक},"विशेषणम्,4.1","विशेषणम्,10.2#विशेषणम्,4.1#कर्म,7.1#कर्ता,7.1"
4.1,वाक्यम्,वाक्यं,वाक्य{नपुं;1;एक}/वाक्य{नपुं;2;एक},वाक्य{नपुं;2;एक},"कर्म,1.2","कर्म,7.1#कर्ता,7.1#कर्म,1.2"
5.1,रावणः,रावणः,रावण{पुं;1;एक},रावण{पुं;1;एक},"कर्ता,7.1;कर्ता,1.2","कर्ता,7.1"
6.1,काल-,काल-चोदितः,काल,काल,"तृतीया-तत्पुरुषः,6.2","तृतीया-तत्पुरुषः,6.2"
6.2,चोदितः,--,चोदित{पुं;1;एक(चुद्1;क्त;चुरादिः)},चोदित{पुं;1;एक(चुद्1;क्त;चुरादिः)},"विशेषणम्,5.1","विशेषणम्,8.2#विशेषणम्,5.1#कर्ता,7.1"
7.1,जगाम,जगाम,गम्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/गम्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},गम्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,5.1;सकर्मक",-
8.1,सह-,सह-मारीचः,सह,सह,"सहपूर्वपद-व्यधिकरण-बहुव्रीहिः,8.2","सहपूर्वपद-व्यधिकरण-बहुव्रीहिः,8.2"
8.2,मारीचः,--,मारीच{पुं;1;एक},मारीच{पुं;1;एक},"विशेषणम्,5.1","विशेषणम्,6.2#विशेषणम्,5.1#कर्ता,7.1"
9.1,तस्य,तस्य,तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक},तद्{सर्वनाम;नपुं;6;एक},"षष्ठीसम्बन्धः,10.2","षष्ठीसम्बन्धः,10.2#षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.1"
10.1,आश्रम-,आश्रम-पदं,आश्रम,आश्रम,"कर्मधारयः,10.2","कर्मधारयः,10.2"
10.2,पदम्,--,पद्{पुं;2;एक}/पद{नपुं;1;एक}/पद{नपुं;2;एक}/पद{पुं;2;एक},पद{नपुं;2;एक},"कर्म,7.1","कर्म,7.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,7.1"
11.1,तदा,तदा,तदा{अव्य},तदा{अव्य},"कालाधिकरणम्,7.1","कालाधिकरणम्,7.1"
12.1,.,.,-,-,-,-
