anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सम्बन्धः,19.1","सम्बन्धः,19.1#कार्य_द्योतकः,19.1"
2.1,शूर्पणखा-,शूर्पणखा-वाक्यात्,शूर्पणखा,शूर्पणखा,"षष्ठी-तत्पुरुषः,2.2","षष्ठी-तत्पुरुषः,2.2"
2.2,वाक्यात्,--,वाक्य{नपुं;5;एक}/वाक्य{पुं;5;एक},वाक्य{नपुं;5;एक},"हेतुः,3.1","हेतुः5,17.1#हेतुः5,3.1"
3.1,उद्युक्तान्,उद्युक्तान्,उद्युक्त{पुं;2;बहु(उत्_वच्1;क्त;अदादिः)},उद्युक्त{पुं;2;बहु(उत्_वच्1;क्त;अदादिः)},"विशेषणम्,4.2","विशेषणम्,16.1#विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,11.1#विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.1#विशेषणम्,4.2#कर्म,17.1"
4.1,सर्व-,सर्व-राक्षसान्,सर्व,सर्व,"कर्मधारय,4.2","कर्मधारय,4.2"
4.2,राक्षसान्,--,राक्षस{पुं;2;बहु},राक्षस{पुं;2;बहु},"समुच्चितः,14.1","विशेषणम्,14.1#सुप्_समुच्चितः,14.1#सुप्_समुच्चितः,9.1#कर्म,19.1"
5.1,खरम्,खरं,खर{पुं;2;एक},खर{पुं;2;एक},"घटकः,4.2","घटकः,4.2#विशेषणम्,10.1#विशेषणम्,7.1#विशेषणम्,6.1#सुप्_समुच्चितः,12.1#सुप्_समुच्चितः,7.1#कर्म,17.1"
6.1,त्रिशिरसम्,त्रिशिरसं,त्रिशिरस्{पुं;2;एक},त्रिशिरस्{पुं;2;एक},"घटकः,4.2","घटकः,4.2#सुप्_समुच्चितः,12.1#सुप्_समुच्चितः,7.1#कर्म,17.1"
7.1,च,-,च{अव्य},च{अव्य},"सम्बन्धः,6.1","सम्बन्धः,6.1"
8.1,एव,-,एव{अव्य},एव{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1"
9.1,दूषणम्,दूषणं,दूषण{पुं;2;एक}/दूषण{नपुं;1;एक}/दूषण{नपुं;2;एक},दूषण{पुं;2;एक},"घटकः,4.2","घटकः,4.2#सुप्_समुच्चितः,12.1#कर्म,17.1#कर्ता,17.1#विशेषणम्,10.1"
10.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,9.1","सुप्_समुच्चय_द्योतकः,9.1#सम्बन्धः,9.1"
11.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,10.1","सम्बन्धः,10.1"
12.1,राक्षसम्,राक्षसम्,राक्षस{पुं;2;एक},राक्षस{पुं;2;एक},"विशेषणम्,9.1","विशेषणम्,7.1#सुप्_समुच्चितः,14.1#सुप्_समुच्चितः,9.1#कर्म,19.1"
13.1,तेषाम्,--,तद्{सर्वनाम;पुं;6;बहु}/तद्{सर्वनाम;नपुं;6;बहु},तद्{सर्वनाम;पुं;6;बहु},"षष्ठीसम्बन्धः,14.1","षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,2.2"
14.1,पदानुगान्,--,पदानुग{पुं;2;बहु},पदानुग{पुं;2;बहु},"कर्म,19.1","सुप्_समुच्चितः,9.1#कर्म,19.1"
15.1,च,--,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,14.1","सुप्_समुच्चय_द्योतकः,14.1#सम्बन्धः,14.1"
16.1,एव,--,एव{अव्य},एव{अव्य},"सम्बन्धः,15.1","सम्बन्धः,15.1"
17.1,रणे,--,रण{पुं;7;एक}/रण{नपुं;7;एक},रण{पुं;7;एक},"अधिकरणम्,19.1","अधिकरणम्,19.1"
18.1,रामः,--,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,19.1","सुप्_समुच्चितः,9.1#कर्ता,19.1"
19.1,निजघान,--,नि_हन्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/नि_हन्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;अदादिः},नि_हन्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,16.1;सकर्मक",-
20.1,.,-,-,-,-,-
