anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1#कार्य_द्योतकः,7.1#अपादानम्,3.1"
2.1,सुग्रीव-,सुग्रीव-सहितः,सुग्रीव,सुग्रीव,"तृतीया-तत्पुरुषः,2.2","तृतीया-तत्पुरुषः,2.2"
2.2,सहितः,--,सहित{पुं;1;एक}/सहितृ{पुं;8;एक}/सहितृ{नपुं;8;एक}/सहितृ{नपुं;1;एक}/सहितृ{नपुं;2;एक}/सहितृ{स्त्री;8;एक},सहित{पुं;1;एक},"विशेषणम्,10.1","सम्बोध्यः,7.1#विशेषणम्,6.1#विशेषणम्,4.1#सहार्थः,7.1#सहार्थः,3.1#विशेषणम्,10.1"
3.1,गत्वा,गत्वा,गम्1{अव्य;क्त्वा;भ्वादिः},गम्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,7.1","पूर्वकालः,7.1"
4.1,तीरम्,तीरं,तीर{पुं;2;एक}/तीर{नपुं;1;एक}/तीर{नपुं;2;एक},तीर{पुं;2;एक},"कर्म,3.1","प्रयोज्यकर्ता,7.1#कर्म,7.1#कर्म,3.1#प्रयोजककर्ता,7.1"
5.1,महा-,महा-उदधेः,महत्,महत्,"कर्मधारयः,5.2","कर्मधारयः,5.2"
5.2,उदधेः,--,उदधि{पुं;5;एक}/उदधि{पुं;6;एक},उदधि{पुं;6;एक},"षष्ठीसम्बन्धः,4.1","षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1#हेतुः5,7.1#हेतुः5,3.1#अपादानम्,3.1"
6.1,समुद्रम्,समुद्रं,समुद्र{पुं;2;एक}/समुद्र{नपुं;1;एक}/समुद्र{नपुं;2;एक},समुद्र{पुं;2;एक},"कर्म,7.1","प्रयोज्यकर्ता,7.1#कर्म,7.1#कर्म,3.1#प्रयोजककर्ता,7.1"
7.1,क्षोभयामास,क्षोभयामास,क्षुभ्2{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;दिवादिः}/क्षुभ्2{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;दिवादिः}/क्षुभ्2{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;दिवादिः}/क्षुभ्3{णिजन्त;कर्तरि;लिट्;प्र;एक;परस्मैपदी;क्र्यादिः}/क्षुभ्3{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;क्र्यादिः}/क्षुभ्3{णिजन्त;कर्तरि;लिट्;उ;एक;परस्मैपदी;क्र्यादिः},क्षुभ्2{णिजन्त;कर्तरि;लिट्;म;बहु;परस्मैपदी;दिवादिः},-,-
8.1,शरैः,शरैः,शर{पुं;3;बहु}/शर{नपुं;3;बहु},शर{पुं;3;बहु},"करणम्,7.1","करणम्,7.1#करणम्,3.1#हेतुः,7.1#हेतुः,3.1"
9.1,आदित्य-,आदित्य-सन्निभैः,आदित्य,आदित्य,"बहुव्रीहिः,9.2","बहुव्रीहिः,9.2"
9.2,सन्निभैः,--,सन्निभ{पुं;3;बहु}/सन्निभ{नपुं;3;बहु},सन्निभ{पुं;3;बहु},"विशेषणम्,8.1","विशेषणम्,8.1#करणम्,7.1#करणम्,3.1#हेतुः,7.1#हेतुः,3.1"
10.1,(रामः),-,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,7.1;कर्ता,3.1","कर्ता,7.1"
11.1,.,.,-,-,-,-
