anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,सुग्रीवाय,सुग्रीवाय,सुग्रीव{पुं;4;एक}/सुग्रीव{नपुं;4;एक},सुग्रीव{पुं;4;एक},"प्रयोजनम्,4.1","प्रयोजनम्1,12.1#प्रयोजनम्1,4.1"
2.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1"
3.1,तत्-,तत्-सर्वं,तत्,तत्,"कर्मधारयः,3.2","कर्मधारयः,3.2"
3.2,सर्वम्,--,सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक},सर्व{सर्वनाम;नपुं;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2#कर्म,4.1#कर्ता,4.1"
4.1,(अ)शंसत्,(अ)शंसत्,शन्स्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः},शन्स्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,5.1;सकर्मक",-
5.1,रामः,रामः,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,4.1","कर्ता,4.1"
6.1,महाबलः,महाबलः,महाबल{पुं;1;एक},महाबल{पुं;1;एक},"विशेषणम्,5.1","विशेषणम्,5.1#कर्ता,4.1"
7.1,आदितः,आदितः,आदि{अव्य;तसिल्}/आदितः{अव्य},आदि{अव्य;तसिल्},"आरम्भ_बिन्दुः,4.1","अपादानम्,9.2#हेतुः5,4.1#आरम्भ_बिन्दुः,4.1"
8.1,तत्,तत्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2"
9.1,यथा-,यथावृत्तं,यथा,यथा,"अव्ययीभावः,9.2","अव्ययीभावः,9.2"
9.2,वृत्तम्,--,यथावृत्त{पुं;2;एक}/यथावृत्त{नपुं;1;एक}/यथावृत्त{नपुं;2;एक},यथावृत्त{नपुं;2;एक},"कर्म,4.1","कर्म,4.1#कर्ता,4.1"
10.1,सीतायाः,सीतायाः,सीता{स्त्री;6;एक}/सीता{स्त्री;5;एक},सीता{स्त्री;6;एक},"षष्ठीसम्बन्धः,9.2","हेतुः5,12.1#हेतुः5,4.1#षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,6.1"
11.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,10.1","सम्बन्धः,10.1"
12.1,विशेषतः,विशेषतः,विशेषतः{अव्य}/वि_शिष्3{कर्तरि{लट्;प्र;द्वि;परस्मैपदी;चुरादिः},विशेषतः{अव्य},"क्रियाविशेषणम्,4.1","क्रियाविशेषणम्,4.1"
13.1,.,.,-,-,-,-
