anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,उत्स्मयित्वा,उत्स्मयित्वा,उत्_स्मि1{अव्य;क्त्वा;भ्वादिः},उत्_स्मि1{अव्य;क्त्वा;भ्वादिः},"समुच्चितः,3.1","पूर्वकालः,8.1#समुच्चितः,3.1"
2.1,महा-,महा-बाहुः,महा}/महत्,महा,"षष्ठी-बहुव्रीहिः,2.2","षष्ठी-बहुव्रीहिः,2.2"
2.2,बाहुः,--,बाहु{पुं;1;एक},बाहु{पुं;1;एक},"विशेषणम्,6.2","विशेषणम्,6.2#कर्ता,8.1"
3.1,प्रेक्ष्य,प्रेक्ष्य,प्र_ईक्ष्1{अव्य;ल्यप्;भ्वादिः}/प्र_आङ्_ईक्ष्1{अव्य{ल्यप्;भ्वादिः},प्र_ईक्ष्1{अव्य;ल्यप्;भ्वादिः},"पूर्वकालः,8.1","पूर्वकालः,8.1#समुच्चितः,1.1"
4.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,3.1","सम्बन्धः,3.1#समुच्चय_द्योतकः,3.1"
5.1,अस्थि,अस्थि,अस्थि{नपुं;1;एक}/अस्थि{नपुं;2;एक}/अस्थि{नपुं;8;एक},अस्थि{नपुं;2;एक},"कर्म,3.1","कर्म,8.1#कर्म,3.1#कर्ता,8.1"
6.1,महा-,महा-बलः,महा}/महत्,महा,"षष्ठी-बहुव्रीहिः,6.2","षष्ठी-बहुव्रीहिः,6.2"
6.2,बलः,--,बल{पुं;1;एक},बल{पुं;1;एक},"कर्ता,8.1;कर्ता,3.1;कर्ता,1.1","विशेषणम्,2.2#कर्ता,8.1"
7.1,पाद-,पाद-अङ्गुष्ठेन,पाद,पाद,"षष्ठी-तत्पुरुषः,7.2","षष्ठी-तत्पुरुषः,7.2"
7.2,अङ्गुष्ठेन,--,अङ्गुष्ठ{पुं;3;एक}/अङ्गुष्ठ{नपुं;3;एक},अङ्गुष्ठ{पुं;3;एक},"करणम्,8.1","करणम्,8.1#हेतुः,8.1#हेतुः,3.1#हेतुः,1.1"
8.1,चिक्षेप,चिक्षेप,क्षिप्2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः}/क्षिप्2{कर्तरि;लिट्;उ;एक;परस्मैपदी;तुदादिः},क्षिप्2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः},"अभिहित_कर्ता,6.2;सकर्मक",-
9.1,सम्पूर्णम्,सम्पूर्णं,सम्पूर्ण{पुं;2;एक}/सम्पूर्ण{नपुं;1;एक}/सम्पूर्ण{नपुं;2;एक},सम्पूर्ण{पुं;2;एक},"विशेषणम्,10.2","विशेषणम्,10.2#विशेषणम्,5.1#कर्म,8.1#कर्म,3.1#कर्ता,8.1"
10.1,दश-,दश-योजनम्,दशन्,दशन्,"कर्मधारयः,10.2","कर्मधारयः,10.2"
10.2,योजनम्,--,योजन{नपुं;1;एक}/योजन{नपुं;2;एक}/योजन{पुं;2;एक},योजन{पुं;2;एक},"कर्म,8.1","विशेषणम्,9.1#कर्म,8.1#कर्म,3.1#विशेषणम्,5.1#कर्ता,8.1"
11.1,.,.,-,-,-,-
