anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,(सः),(सः),तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"कर्ता,6.1","विशेषणम्,5.1#विशेषणम्,2.3#कर्ता_बे_वेर्ब्स्,6.1"
2.1,वेद-,वेद-वेदाङ्ग-तत्त्वज्ञः,वेद,वेद,"इतरेतर-द्वन्द्वः,2.3","इतरेतर-द्वन्द्वः,2.3"
2.2,वेद-,--,वेद,वेद,"षष्ठी-तत्पुरुषः,2.3","षष्ठी-तत्पुरुषः,2.3"
2.3,अङ्ग-,--,अङ्ग,अङ्ग,"षष्ठी-तत्पुरुषः,2.4","षष्ठी-तत्पुरुषः,2.4"
2.4,तत्त्व-,--,तत्त्व,तत्त्व,"उपपद-तत्पुरुषः,2.5","उपपद-तत्पुरुषः,2.5"
2.5,ज्ञः,--,ज्ञ{पुं;1;एक},तत्त्वज्ञ{पुं;1;एक},"विशेषणम्,1.1","विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,6.1"
3.1,धनुर्वेदे,धनुर्वेदे,धनुर्वेद{पुं;7;एक},धनुर्वेद{पुं;7;एक},"अधिकरणम्,5.1","अधिकरणम्,6.1#अधिकरणम्,5.1"
4.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,3.1","सम्बन्धः,3.1"
5.1,निष्ठितः,निष्ठितः,निष्ठित{पुं;1;एक(नि_ष्था1;क्त;भ्वादिः)},निष्ठित{पुं;1;एक(नि_ष्था1;क्त;भ्वादिः)},"विधेय_विशेषणम्,1.1","विधेय_विशेषणम्,2.3#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,6.1"
6.1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,1.1",-
7.1,.,.,-,-,-,-
